config,seeds,n_seeds,model,WMAPE_mean,WMAPE_std,WMAPE_median,RMSE_mean,RMSE_std,RMSE_median,MAE_mean,MAE_std,MAE_median
ai23_only,42,1,HistAvg,1.0822,0.3778,0.9636,554.0392,178.5066,512.677,316.0504,71.1167,285.229
ai23_only,42,1,RF,0.8121,0.0258,0.8078,561.3761,192.6756,542.463,264.3545,110.1012,237.087
ai23_only,42,1,MLP,0.8114,0.0271,0.8075,561.9647,189.6256,535.186,263.7676,108.6465,237.943
ai23_only,42,1,GATv2,0.8241,0.027,0.823,573.1124,194.6342,547.382,268.2665,111.6885,242.329
ai23_only_fastbaselines,42,1,HistAvg,1.0822,0.3778,0.9636,554.0392,178.5066,512.677,316.0504,71.1167,285.229
ai23_only_fastbaselines,42,1,MLR,0.812,0.0303,0.8106,557.8936,184.1717,538.764,263.4091,106.9826,239.04
ai23_only_fastbaselines,42,1,RF,0.8128,0.0258,0.8088,561.9552,193.3304,543.913,264.6997,110.6264,237.673
ai23_only_fastbaselines,42,1,XGBoost,0.8207,0.033,0.811,561.264,192.6897,547.906,266.6676,109.8316,238.826
ai23_osm,42,1,HistAvg,1.0822,0.3778,0.9636,554.0392,178.5066,512.677,316.0504,71.1167,285.229
ai23_osm,42,1,RF,0.7975,0.0287,0.8031,551.153,193.9833,522.002,260.1515,110.9041,233.376
ai23_osm,42,1,MLP,0.7983,0.0288,0.7948,552.7368,190.1133,522.189,259.6849,108.0076,233.945
ai23_osm,42,1,GATv2,0.8058,0.0293,0.8104,561.9629,192.8235,536.299,262.5853,110.3997,234.998
ai23_osm_fastbaselines,42,1,HistAvg,1.0822,0.3778,0.9636,554.0392,178.5066,512.677,316.0504,71.1167,285.229
ai23_osm_fastbaselines,42,1,MLR,0.7982,0.0312,0.7939,550.2205,186.6401,525.424,259.2565,106.6291,235.255
ai23_osm_fastbaselines,42,1,RF,0.797,0.0294,0.8004,550.5915,194.0419,520.985,259.9157,110.5974,232.945
ai23_osm_fastbaselines,42,1,XGBoost,0.8075,0.0354,0.7967,550.798,198.6515,526.156,264.135,115.667,233.916
ai23_osm_sc,42,1,HistAvg,1.0822,0.3778,0.9636,554.0392,178.5066,512.677,316.0504,71.1167,285.229
ai23_osm_sc,42,1,MLR,0.6404,0.0567,0.6485,452.092,155.4564,425.149,205.4534,79.1282,189.529
ai23_osm_sc,42,1,RF,0.6428,0.0547,0.6545,466.8712,161.065,438.249,205.8846,77.6608,187.228
ai23_osm_sc,42,1,XGBoost,0.6437,0.068,0.642,455.6411,158.1134,441.689,205.7638,78.082,183.374
ai23_osm_sc,42,1,MLP,0.6311,0.0563,0.6386,440.3491,151.7738,419.062,201.9388,76.3417,187.158
ai23_osm_sc,42,1,GATv2,0.7187,0.0439,0.7159,507.8389,186.956,496.542,233.293,98.2656,212.07
func_sim,42,1,HistAvg,1.0822,0.3778,0.9636,554.0392,178.5066,512.677,316.0504,71.1167,285.229
func_sim,42,1,IDW,0.8487,0.0396,0.8542,568.8428,191.4246,569.887,275.1282,112.0893,243.79
func_sim,42,1,MLR,0.6404,0.0567,0.6485,452.092,155.4564,425.149,205.4534,79.1282,189.529
func_sim,42,1,RF,0.6428,0.0547,0.6545,466.8712,161.065,438.249,205.8846,77.6608,187.228
func_sim,42,1,XGBoost,0.6437,0.068,0.642,455.6411,158.1134,441.689,205.7638,78.082,183.374
func_sim,42,1,MLP,0.6303,0.0569,0.6382,439.4793,151.6792,412.17,201.6552,76.2599,187.527
func_sim,42,1,GATv2,0.7352,0.0533,0.7334,512.8482,181.635,494.821,238.1146,98.8887,209.924
gatv2_edge_attrs,42,1,GATv2,0.7193,0.0422,0.7233,508.1065,177.1127,511.877,232.5081,91.3374,212.866
gatv2_edge_attrs,42,1,GATv2-EdgeAttr,0.7228,0.0478,0.7278,511.2835,178.2645,492.832,234.0439,95.9667,205.93
gcn,42,1,HistAvg,1.0822,0.3778,0.9636,554.0392,178.5066,512.677,316.0504,71.1167,285.229
gcn,42,1,MLR,0.6404,0.0567,0.6485,452.092,155.4564,425.149,205.4534,79.1282,189.529
gcn,42,1,RF,0.6428,0.0547,0.6545,466.8712,161.065,438.249,205.8846,77.6608,187.228
gcn,42,1,XGBoost,0.6437,0.068,0.642,455.6411,158.1134,441.689,205.7638,78.082,183.374
gcn,42,1,MLP,0.6311,0.0563,0.6386,440.3491,151.7738,419.062,201.9388,76.3417,187.158
gcn,42,1,GATv2,0.7187,0.0439,0.7159,507.8389,186.956,496.542,233.293,98.2656,212.07
gcn,42,1,GCN,0.7006,0.0473,0.6936,466.0625,164.0125,459.73,226.0203,90.1482,203.729
gnn_fairness,42,1,HistAvg,1.0822,0.3778,0.9636,554.0392,178.5066,512.677,316.0504,71.1167,285.229
gnn_fairness,42,1,MLR,0.6404,0.0567,0.6485,452.092,155.4564,425.149,205.4534,79.1282,189.529
gnn_fairness,42,1,RF,0.6428,0.0547,0.6545,466.8712,161.065,438.249,205.8846,77.6608,187.228
gnn_fairness,42,1,XGBoost,0.6437,0.068,0.642,455.6411,158.1134,441.689,205.7638,78.082,183.374
gnn_fairness,42,1,MLP,0.6305,0.0561,0.6392,439.7821,151.4062,419.728,201.916,76.9553,187.386
gnn_fairness,42,1,GATv2,0.7372,0.0561,0.7522,514.0531,176.1324,503.711,237.3315,94.2708,213.596
idw,deterministic,1,IDW,0.8487,0.0396,0.8542,568.8428,191.4246,569.887,275.1282,112.0893,243.79
osm_only,42,1,HistAvg,1.0822,0.3778,0.9636,554.0392,178.5066,512.677,316.0504,71.1167,285.229
osm_only,42,1,RF,0.8062,0.0336,0.8059,553.438,196.6946,530.093,262.8635,112.0129,234.66
osm_only,42,1,MLP,0.8058,0.0301,0.803,556.8851,191.824,524.203,261.8646,108.2621,235.193
osm_only,42,1,GATv2,0.8259,0.0287,0.8239,573.8317,197.016,560.211,269.6667,114.23,238.956
osm_only_fastbaselines,42,1,HistAvg,1.0822,0.3778,0.9636,554.0392,178.5066,512.677,316.0504,71.1167,285.229
osm_only_fastbaselines,42,1,MLR,0.8078,0.0329,0.813,554.9293,192.4391,522.731,262.3527,108.1585,239.509
