borough,HistAvg,MLR,RF,XGBoost,MLP,GATv2-Fusion,gap
Barking and Dagenham,0.893,0.7043,0.6935,0.6706,0.6811,0.7302,0.036699999999999955
Barnet,1.2395,0.6935,0.6598,0.6577,0.6734,0.7394,0.0795999999999999
Bexley,1.6969,0.6933,0.6847,0.6921,0.6839,0.7543,0.0696
Brent,0.8181,0.6306,0.652,0.642,0.6221,0.6794,0.02739999999999998
Bromley,2.6075,0.6641,0.6545,0.6504,0.6595,0.6691,0.014600000000000057
Camden,0.8666,0.5214,0.523,0.539,0.5026,0.7412,0.21819999999999995
City of London,0.798,0.5655,0.5729,0.5667,0.5702,0.6568,0.08390000000000009
Croydon,1.5477,0.6755,0.6783,0.6603,0.6678,0.6995,0.021199999999999997
Ealing,0.9636,0.6504,0.6688,0.6339,0.6386,0.7152,0.0464
Enfield,1.1452,0.6777,0.7019,0.7009,0.6669,0.8002,0.09830000000000005
Greenwich,0.9994,0.6641,0.656,0.6363,0.6558,0.7185,0.0625
Hackney,0.8267,0.4995,0.5326,0.5063,0.4931,0.6691,0.13650000000000007
Hammersmith and Fulham,0.7878,0.6967,0.673,0.6941,0.6872,0.7039,0.030899999999999928
Haringey,0.8402,0.6572,0.6623,0.6837,0.6346,0.702,0.03969999999999996
Harrow,1.0881,0.634,0.6324,0.6014,0.6201,0.6963,0.06390000000000007
Havering,1.6017,0.712,0.7215,0.879,0.7073,0.7723,0.050799999999999956
Hillingdon,1.3003,0.7117,0.7647,0.7618,0.7296,0.7663,0.0015999999999999348
Hounslow,1.054,0.6382,0.6539,0.6377,0.6162,0.7669,0.11299999999999999
Islington,0.7866,0.5887,0.5871,0.5884,0.5869,0.632,0.04490000000000005
Kensington and Chelsea,0.7473,0.5986,0.5484,0.5507,0.5803,0.6728,0.12439999999999996
Kingston upon Thames,1.2094,0.7114,0.7084,0.6785,0.6924,0.7968,0.08839999999999992
Lambeth,0.8618,0.6441,0.6296,0.6209,0.6087,0.694,0.0643999999999999
Lewisham,0.9859,0.5984,0.6069,0.6227,0.6006,0.7095,0.10260000000000002
Merton,1.0347,0.6653,0.6571,0.6766,0.6558,0.7039,0.04679999999999995
Newham,0.8322,0.5694,0.6077,0.615,0.5755,0.6416,0.03389999999999993
Redbridge,1.1018,0.682,0.6852,0.6522,0.6657,0.7802,0.09499999999999997
Richmond upon Thames,1.3166,0.6485,0.6594,0.6782,0.6868,0.6705,0.011099999999999999
Southwark,0.8601,0.581,0.6161,0.5916,0.5819,0.6733,0.05720000000000003
Sutton,1.4868,0.6465,0.675,0.6911,0.6417,0.7663,0.09129999999999994
Tower Hamlets,0.9492,0.5742,0.6036,0.585,0.5862,0.6781,0.07450000000000001
Waltham Forest,0.8879,0.7183,0.6405,0.6609,0.6797,0.6716,0.031100000000000017
Wandsworth,0.8146,0.634,0.6413,0.6379,0.6304,0.6743,0.03300000000000003
Westminster,0.763,0.5828,0.5606,0.5787,0.5453,0.5869,0.02629999999999999
