borough,Gated,MLP,GATv2,RF,gap_gated_mlp
Hillingdon,0.7387,0.7296,0.8025,0.7647,0.009099999999999997
Hammersmith and Fulham,0.6957,0.6872,0.6958,0.673,0.008499999999999952
Westminster,0.5513666666666667,0.5453,0.7046,0.5606,0.006066666666666665
Tower Hamlets,0.5920333333333333,0.5862,0.7043,0.6036,0.005833333333333246
Southwark,0.5868,0.5819,0.6874,0.6161,0.0049000000000000155
Lambeth,0.6115666666666667,0.6087,0.7645,0.6296,0.002866666666666684
Ealing,0.6404,0.6386,0.7648,0.6688,0.0018000000000000238
Barnet,0.6739666666666667,0.6734,0.7159,0.6598,0.0005666666666667153
Hounslow,0.6167666666666666,0.6162,0.7326,0.6539,0.0005666666666666043
Camden,0.5024666666666667,0.5026,0.658,0.523,-0.00013333333333331865
Greenwich,0.6551666666666667,0.6558,0.7265,0.656,-0.0006333333333333746
Havering,0.7054,0.7073,0.7754,0.7215,-0.0019000000000000128
Newham,0.5735333333333333,0.5755,0.6411,0.6077,-0.001966666666666672
Islington,0.5842666666666667,0.5869,0.661,0.5871,-0.0026333333333332654
City of London,0.5670333333333333,0.5702,0.7855,0.5729,-0.003166666666666762
Hackney,0.4897,0.4931,0.6877,0.5326,-0.0033999999999999586
Merton,0.6523333333333333,0.6558,0.7333,0.6571,-0.003466666666666729
Brent,0.6185333333333334,0.6221,0.6898,0.652,-0.003566666666666607
Haringey,0.6302666666666666,0.6346,0.6904,0.6623,-0.004333333333333411
Kingston upon Thames,0.6877,0.6924,0.7507,0.7084,-0.0047000000000000375
Croydon,0.6630666666666667,0.6678,0.7071,0.6783,-0.004733333333333256
Lewisham,0.5953666666666667,0.6006,0.7202,0.6069,-0.005233333333333312
Bromley,0.6540666666666667,0.6595,0.7112,0.6545,-0.00543333333333329
Wandsworth,0.6244333333333333,0.6304,0.6822,0.6413,-0.005966666666666676
Enfield,0.6608999999999999,0.6669,0.7814,0.7019,-0.006000000000000116
Waltham Forest,0.6715333333333332,0.6797,0.7107,0.6405,-0.008166666666666766
Kensington and Chelsea,0.5717,0.5803,0.6059,0.5484,-0.008600000000000052
Redbridge,0.6567666666666666,0.6657,0.6956,0.6852,-0.008933333333333349
Richmond upon Thames,0.6759333333333334,0.6868,0.7338,0.6594,-0.01086666666666658
Harrow,0.6091000000000001,0.6201,0.7511,0.6324,-0.010999999999999899
Barking and Dagenham,0.6684333333333333,0.6811,0.7229,0.6935,-0.012666666666666715
Bexley,0.6711666666666667,0.6839,0.7606,0.6847,-0.012733333333333263
Sutton,0.6166333333333333,0.6417,0.7624,0.675,-0.025066666666666793
