lad_name,n_stops,pct_boundary
City of London,101,38.613861386138616
Islington,349,33.5243553008596
Kensington and Chelsea,260,31.92307692307692
Camden,424,28.30188679245283
Westminster,419,27.684964200477324
Brent,575,27.1304347826087
Hackney,442,26.47058823529412
Hammersmith and Fulham,276,26.44927536231884
Lambeth,577,25.82322357019064
Southwark,583,23.67066895368782
Wandsworth,481,21.205821205821206
Lewisham,609,20.19704433497537
Harrow,432,18.055555555555554
Ealing,683,17.423133235724745
Merton,457,17.067833698030636
Sutton,421,16.864608076009503
Haringey,461,16.702819956616054
Barking and Dagenham,364,16.483516483516482
Hounslow,651,16.129032258064516
Greenwich,659,15.174506828528072
Tower Hamlets,381,14.435695538057743
Richmond upon Thames,484,13.223140495867769
Redbridge,539,12.987012987012985
Barnet,993,11.379657603222558
Waltham Forest,492,9.552845528455284
Bexley,672,9.077380952380953
Hillingdon,706,8.21529745042493
Kingston upon Thames,391,8.184143222506394
Croydon,1019,7.948969578017665
Newham,465,7.526881720430108
Enfield,707,6.9306930693069315
Bromley,1179,6.361323155216285
Havering,691,3.3285094066570187
