STOPCODE,stop_name,total_boardings,n_route_dir_qhr_rows
1000,WESTMINSTER STN  / PARLIAMENT SQUARE,968.09077,347
10001,TREVOR CLOSE,3.3213799999999996,42
10002,HIGHBURY CORNER,866.69815,391
10003,HIGHBURY & ISLINGTON STATION,1260.98168,359
10004,ST MARY MAGDALENE CHURCH,496.38561,361
10005,ST MARY MAGDALENE CHURCH,434.16227,363
10010,HOLLOWAY ROAD STATION,1343.45069,444
10011,HOLLOWAY ROAD STATION,1547.9439399999999,440
10014,LYNWOOD ROAD,100.1083,79
10015,LYNWOOD ROAD,20.33919,79
10016,WOOLWICH ROAD / BEDONWELL ROAD,149.29482,161
10017,WOOLWICH ROAD / BEDONWELL ROAD,84.64156,162
10019,QUEENS ROAD,248.16996,250
10023,ST JOSEPH'S CHURCH,164.98379,100
10024,ST JOSEPH'S CHURCH,153.09709,100
10028,ELM ROAD / NEW MALDEN BAPTIST CHURCH,227.71222,100
10031,ARCHDALE PLACE,69.96181,137
10032,CALIFORNIA ROAD,249.59151,148
10037,WATERS ROAD,103.79107,99
10038,CAMBRIDGE GROVE,223.28277,101
10041,VICARAGE HOUSE,259.48606,99
1005,RAYNES PARK STATION,1029.98663,211
1007,SHEEN ROAD / KINGS ROAD,151.28392,254
1008,ST MARY'S GROVE,158.1202,253
1010,CLAPTON POND,38.74947,81
10107,CEDAR WAY,37.52518,79
1011,CLAPTON POND,2315.27736,705
10111,DITTON PARK ROAD,57.25182,79
1013,CHAPTER ROAD,517.4452699999999,179
1014,CHAPTER ROAD,231.07017,174
1017,ST JOHN STREET / GOSWELL ROAD,488.78315,390
1023,TALLY HO CORNER,1868.58898,293
10240,KILBURN PARK STATION,1127.2943,425
10241,KILBURN PARK STATION,391.95969,417
10242,FAIRLAWN AVENUE,583.55149,362
10243,MULGRAVE ROAD,451.52348,273
10244,FULHAM POOLS,381.54118,271
10258,THIRLMERE GARDENS,88.42443,225
1026,QUEEN'S GROVE,262.14957,337
10260,GLYN ROAD,494.03726,405
10261,GLYN ROAD,709.78288,401
1027,QUEEN'S GROVE,134.78011,342
10281,MORDEN SOUTH STATION,79.38291,253
10282,MORDEN SOUTH STATION,107.51422,257
10283,CHALGROVE AVENUE,384.29209,253
10284,BUSHEY ROAD / GRAND DRIVE,16.57484,126
10287,BUSHEY ROAD,32.86417,83
10288,BUSHEY ROAD,41.56218,83
10289,LEA BRIDGE ROAD,282.91177,173
1029,THAMES AVENUE,390.76037,159
10290,LEA BRIDGE ROAD,787.40417,178
10297,ST SAVIOUR'S CHURCH,331.40898,173
1030,BARNES STATION,1022.29541,259
10300,QUEEN'S ROAD,465.32504,174
10302,MARKHOUSE AVENUE,305.7696,246
10303,MARKHOUSE AVENUE,357.22391,247
10308,HAZELWOOD ROAD,317.71722,250
10309,WALTHAMSTOW MARKET,508.27887,315
1031,BARNES STATION,743.29926,252
10313,LONGFIELD AVENUE,244.24620000000002,249
10316,BLACKHORSE ROAD STATION,2206.04649,169
10317,BLACKHORSE ROAD STATION,1937.08443,252
10318,PRIESTLEY WAY,76.20462,93
10319,FOREST ROAD,464.29462,96
10320,FOREST ROAD,989.14213,93
10321,BLENHEIM ROAD,41.86058,96
10324,SHAKESPEARE ROAD,125.00341999999999,94
10325,PRIESTLEY WAY,294.08567,96
10328,CLARENCE ROAD,81.18330999999999,94
10330,LAWRENCE AVENUE,173.51286,174
10331,WORCESTER ROAD,332.76964,96
10333,LAWRENCE AVENUE,267.72158,96
10334,HIGHAM HILL ROAD,226.99984,174
10337,HIGHAM HILL ROAD,455.23714,175
10338,GUILDSWAY,93.08064,172
10340,NORTH COUNTESS ROAD,127.91304,173
10341,GUILDSWAY,558.71733,169
10342,WALTHAMSTOW ACADEMY,130.79046,173
10343,NORTH COUNTESS ROAD,588.09157,169
10345,WALTHAMSTOW ACADEMY,299.04309,168
10347,CECIL ROAD,72.4009,168
10351,KAYWOOD CLOSE,67.3065,79
10352,BANK STATION  / POULTRY,881.73437,450
10359,ERITH FIRE STATION,58.922149999999995,81
10360,ERITH FIRE STATION,83.59692,82
10362,BEULAH SPA,461.97896,270
10363,BEULAH SPA,696.96641,264
10364,AVENUE ROAD,70.61486000000001,78
10365,AVENUE ROAD,96.90974,80
1037,STAMFORD BROOK BUS GARAGE,500.1132,432
1038,STAMFORD BROOK BUS GARAGE,417.34569,434
1039,DUKE ROAD,1264.18288,418
1040,CLIFTON GARDENS,329.04053,84
1041,ST ANN'S ROAD,897.74098,278
1042,ST ANN'S ROAD,717.07003,181
1043,TOTTENHAM TOWN HALL,1677.64599,504
10439,WOOLWICH ROAD / GALLIONS ROAD,266.69412,185
1045,SADLER'S WELLS THEATRE,346.02538,304
10458,ST MARY OF ETON CHURCH,559.95399,177
10459,ST MARY OF ETON CHURCH,117.58598,175
1046,SADLER'S WELLS THEATRE,165.0284,312
10460,HESA ROAD,225.28648,260
10462,HAYES / THE GRAPES,1723.73996,251
10464,FORTUNE GREEN,115.48517,175
10465,WEST HAMPSTEAD POLICE STATION,138.30445,168
10468,LEA BRIDGE ROAD / BAKERS ARMS,1029.13125,638
10469,LEA BRIDGE ROAD / BAKERS ARMS,271.46306,179
1047,THE OLD VIC,853.72158,555
1048,THE OLD VIC,599.35498,554
1049,GUNNERSBURY STATION,604.30681,406
1051,ALPHA CLOSE,221.05948,266
1052,LONDON BUSINESS SCHOOL,170.40802,270
1054,DEAN STREET / CHINATOWN,938.81734,288
1057,HOLBORN STATION,2.50965,315
10580,MONTPELIER ROAD,289.05361,254
1059,HOLLAND RD / KENSINGTON OLYMPIA STN,123.07787,154
106,VESTRY ROAD,1774.1953800000001,498
1061,NORLAND SQUARE,496.11194,363
1062,HOLLAND PARK STATION,388.13379,372
1063,EDITH GROVE,596.79438,250
1064,FULHAM ROAD / CHELSEA & WESTMINSTER HOSP,329.92595,174
1065,EDITH GROVE,773.18907,249
1067,FULHAM ROAD / BEAUFORT STREET,812.96998,346
1069,OLD CHURCH STREET,225.38949,346
10690,SPUR ROAD / ORPINGTON WAR MEMORIAL,30.06647,119
10694,PRATTS BOTTOM / SEVENOAKS ROAD,0.6059599999999998,11
107,HYDE PARK CORNER STATION,1180.73523,197
1070,OLD CHURCH STREET,349.41784,337
10705,SEVENOAKS ROAD / ORPINGTON WAR MEMORIAL,9.555429999999998,270
1071,ONSLOW SQUARE,210.91531,349
10715,VILLAGE GREEN ROAD,52.47978,72
10716,THE RISE,27.72249,71
10717,STANHAM PLACE,65.09166,71
10719,THE JOLLY FARMERS OPEN SPACE,44.68771,69
1072,ONSLOW SQUARE,745.24667,341
10720,MILL PLACE,39.27843,72
10721,PERRY STREET,81.68968,80
10722,PERRY STREET,54.89814,81
10723,EVERSLEY CROSS,107.7168,80
10724,EVERSLEY CROSS,36.98117,80
10725,NORTHALL ROAD / MANOR WAY,24.81261,79
10726,PARKSIDE AVENUE / MANOR WAY,13.59391,80
10729,BRIDGE ROAD / NORTHEND ROAD,251.57748999999998,167
1073,PENTON STREET,559.20569,453
1074,PENTON STREET / CHAPEL MARKET,803.21925,448
1075,COLEY STREET,590.80313,158
1076,COLEY STREET,237.44574,160
1078,KENTISH TOWN STATION,1195.99568,359
10794,COOMBE ROAD,48.70939,149
10795,COOMBE ROAD,88.55446,148
10797,BIRDHURST GARDENS,95.96685,166
10798,BIRDHURST ROAD / SOUTH CROYDON STATION,133.48943,166
