,AI23-only,OSM-only,AI23+OSM,AI23+OSM+SC,PCA(AI23)+OSM+SC
HistAvg,1.0822,1.0822,1.0822,1.0822,1.0822
IDW,0.8487,0.8487,0.8487,0.8487,0.8487
MLR,0.812,0.8078,0.7982,0.6404,0.6401
RF,0.8128,0.8064,0.797,0.6428,0.64
XGBoost,0.8207,0.8084,0.8075,0.6437,0.6474
MLP,0.8114,0.8058,0.7983,0.6311,0.6299
GATv2,0.8241,0.8259,0.8058,0.7187,0.7171
GCN,,,,0.7006,
GATv2-fairness (K=10),,,,0.7372,
GATv2-func-sim,,,,0.7352,
GATv2-Fusion (G1/G2/G3),,,,0.707,
MLR-tuned,,,,0.6401,
RF-tuned,,,,0.6339,
XGBoost-tuned,,,,0.6497,
