borough,resid_corr,mlp_wmape,naive_wmape,naive_minus_mlp
Barking and Dagenham,0.9207747269198105,0.6797132280639733,0.726214649122564,0.046501421058590675
Barnet,0.915091934502961,0.6741593323345645,0.672418079569088,-0.001741252765476542
Bexley,0.923582008259252,0.6836680924444956,0.7197976384079229,0.03612954596342732
Brent,0.9241299780384109,0.6259600710989919,0.6569666521653574,0.031006581066365557
Bromley,0.8992556360548946,0.6579921104476751,0.6832019923881534,0.02520988194047824
Camden,0.8802037925913777,0.5007645472569787,0.6261308582163195,0.1253663109593408
City of London,0.8432891885462722,0.5740173861473323,0.6010505962749254,0.027033210127593077
Croydon,0.9182104833808608,0.6651354604298723,0.6895322411316958,0.024396780701823495
Ealing,0.9280088629089449,0.6395996019759298,0.6980398843906204,0.05844028241469057
Enfield,0.9330616564738481,0.6643216795670375,0.707376594018738,0.04305491445170051
Greenwich,0.9207928491891922,0.6546746908836286,0.7023408097405919,0.04766611885696326
Hackney,0.8436249450674186,0.49034598570970866,0.5949343758641065,0.1045883901543978
Hammersmith and Fulham,0.9323516451174917,0.6875251750442193,0.6757783435469806,-0.011746831497238652
Haringey,0.9011869441648522,0.6361673583546471,0.6726754258794436,0.03650806752479652
Harrow,0.8907175439659873,0.6218077750407619,0.6608759340437961,0.039068159003034175
Havering,0.9467256036050762,0.7095030875138435,0.7258484452906179,0.016345357776774372
Hillingdon,0.9107945238780047,0.7270497732824116,0.7872481907193811,0.06019841743696952
Hounslow,0.9305164581753165,0.6174403972765238,0.6454598820166685,0.028019484740144707
Islington,0.838265599671873,0.589074766894292,0.6291312337918801,0.04005646689758813
Kensington and Chelsea,0.8345641250696032,0.5768913054189955,0.5854441112121318,0.008552805793136331
Kingston upon Thames,0.9545630293325308,0.6930464679129104,0.7063153870311337,0.013268919118223366
Lambeth,0.8709630652035542,0.6095627920860801,0.6754024445222433,0.06583965243616319
Lewisham,0.911521299027235,0.6005265316913355,0.6234482197305656,0.022921688039230115
Merton,0.8808959707661701,0.6562344656461455,0.7079191561924024,0.051684690546256906
Newham,0.894563330118449,0.5793341365340573,0.6288260060459362,0.049491869511878894
Redbridge,0.9547645265620733,0.6636101986648859,0.6703118971041161,0.006701698439230186
Richmond upon Thames,0.9112454905831476,0.6811887407104174,0.6954946892764876,0.014305948566070259
Southwark,0.8876502664758295,0.5764637383468989,0.6195950321431087,0.043131293796209835
Sutton,0.9175253752620802,0.6408942161697398,0.7203522684108539,0.07945805224111402
Tower Hamlets,0.9394022066552173,0.5866789932114728,0.6165367105756039,0.02985771736413112
Waltham Forest,0.900517520397972,0.6773424470256391,0.6522769571471078,-0.0250654898785313
Wandsworth,0.9037650293420861,0.6282251459209058,0.6756843470449921,0.0474592011240863
Westminster,0.7950779768804066,0.5483409418285462,0.6171774364042466,0.0688364945757004
