borough,n_test,model,WMAPE,RMSE,MAE
Barking and Dagenham,364,HistAvg,0.893,570.009,262.968
Barking and Dagenham,364,MLR,0.789,590.127,232.346
Barking and Dagenham,364,RF,0.7735,574.036,227.786
Barking and Dagenham,364,XGBoost,0.811,574.886,238.826
Barnet,993,HistAvg,1.2395,379.816,265.098
Barnet,993,MLR,0.8346,372.324,178.488
Barnet,993,RF,0.8494,374.703,181.657
Barnet,993,XGBoost,0.8442,379.872,180.547
Bexley,672,HistAvg,1.6969,388.739,256.754
Bexley,672,MLR,0.8305,369.486,125.665
Bexley,672,RF,0.8251,363.935,124.85
Bexley,672,XGBoost,0.8251,367.113,124.842
Brent,575,HistAvg,0.8181,541.496,311.062
Brent,575,MLR,0.7952,578.711,302.351
Brent,575,RF,0.7982,578.167,303.487
Brent,575,XGBoost,0.787,569.184,299.239
Bromley,1179,HistAvg,2.6075,309.255,265.171
Bromley,1179,MLR,0.8834,228.543,89.839
Bromley,1179,RF,0.8724,225.717,88.721
Bromley,1179,XGBoost,0.8811,226.108,89.607
Camden,424,HistAvg,0.8666,609.429,349.975
Camden,424,MLR,0.7839,584.501,316.562
Camden,424,RF,0.8023,585.818,323.991
Camden,424,XGBoost,0.8026,569.818,324.107
City of London,101,HistAvg,0.798,914.764,520.033
City of London,101,MLR,0.7934,877.24,517.046
City of London,101,RF,0.8273,953.623,539.144
City of London,101,XGBoost,0.8285,960.509,539.897
Croydon,1019,HistAvg,1.5477,343.611,254.841
Croydon,1019,MLR,0.7892,321.452,129.951
Croydon,1019,RF,0.788,318.48,129.751
Croydon,1019,XGBoost,0.801,323.558,131.884
Ealing,683,HistAvg,0.9636,570.286,318.126
Ealing,683,MLR,0.8329,590.768,274.991
Ealing,683,RF,0.8277,582.868,273.271
Ealing,683,XGBoost,0.825,575.415,272.377
Enfield,707,HistAvg,1.1452,433.336,276.391
Enfield,707,MLR,0.8466,443.482,204.325
Enfield,707,RF,0.8592,451.219,207.37
Enfield,707,XGBoost,0.8723,457.533,210.544
Greenwich,659,HistAvg,0.9994,596.257,285.229
Greenwich,659,MLR,0.8368,621.09,238.824
Greenwich,659,RF,0.8328,618.225,237.673
Greenwich,659,XGBoost,0.831,619.387,237.157
Hackney,442,HistAvg,0.8267,512.63,325.701
Hackney,442,MLR,0.7701,509.399,303.425
Hackney,442,RF,0.792,531.132,312.028
Hackney,442,XGBoost,0.795,529.847,313.235
Hammersmith and Fulham,276,HistAvg,0.7878,748.498,373.545
Hammersmith and Fulham,276,MLR,0.7943,775.336,376.599
Hammersmith and Fulham,276,RF,0.8006,777.795,379.608
Hammersmith and Fulham,276,XGBoost,0.8105,783.174,384.271
Haringey,461,HistAvg,0.8402,761.461,380.81
Haringey,461,MLR,0.793,756.355,359.434
Haringey,461,RF,0.8076,783.969,366.042
Haringey,461,XGBoost,0.8056,782.039,365.136
Harrow,432,HistAvg,1.0881,369.502,256.035
Harrow,432,MLR,0.7976,384.833,187.693
Harrow,432,RF,0.7934,385.883,186.695
Harrow,432,XGBoost,0.7908,382.749,186.091
Havering,691,HistAvg,1.6017,456.404,268.356
Havering,691,MLR,0.8533,447.235,142.969
Havering,691,RF,0.8484,440.342,142.136
Havering,691,XGBoost,0.8848,441.37,148.241
Hillingdon,706,HistAvg,1.3003,592.939,309.8
Hillingdon,706,MLR,0.8737,610.569,208.144
Hillingdon,706,RF,0.8546,596.748,203.602
Hillingdon,706,XGBoost,0.9016,587.494,214.798
Hounslow,651,HistAvg,1.054,427.703,263.162
Hounslow,651,MLR,0.8225,445.671,205.367
Hounslow,651,RF,0.8093,438.048,202.084
Hounslow,651,XGBoost,0.8081,429.96,201.761
Islington,349,HistAvg,0.7866,736.434,408.65
Islington,349,MLR,0.7777,736.954,404.016
Islington,349,RF,0.7987,758.93,414.964
Islington,349,XGBoost,0.7938,755.251,412.384
Kensington and Chelsea,260,HistAvg,0.7473,516.034,323.957
Kensington and Chelsea,260,MLR,0.767,550.667,332.499
Kensington and Chelsea,260,RF,0.7608,535.229,329.823
Kensington and Chelsea,260,XGBoost,0.7611,526.662,329.952
Kingston upon Thames,391,HistAvg,1.2094,569.502,281.785
Kingston upon Thames,391,MLR,0.8468,582.398,197.312
Kingston upon Thames,391,RF,0.8345,577.797,194.438
Kingston upon Thames,391,XGBoost,0.8477,583.766,197.517
Lambeth,577,HistAvg,0.8618,942.451,428.607
Lambeth,577,MLR,0.8225,947.18,409.086
Lambeth,577,RF,0.8273,952.409,411.464
Lambeth,577,XGBoost,0.835,954.717,415.294
Lewisham,609,HistAvg,0.9859,512.677,290.318
Lewisham,609,MLR,0.8118,538.764,239.04
Lewisham,609,RF,0.8088,534.586,238.167
Lewisham,609,XGBoost,0.8134,540.433,239.515
Merton,457,HistAvg,1.0347,493.948,268.128
Merton,457,MLR,0.7901,499.344,204.732
Merton,457,RF,0.7947,503.194,205.94
Merton,457,XGBoost,0.8053,499.057,208.671
Newham,465,HistAvg,0.8322,506.085,319.074
Newham,465,MLR,0.7903,537.467,302.996
Newham,465,RF,0.8008,544.232,307.029
Newham,465,XGBoost,0.8017,547.906,307.355
Redbridge,539,HistAvg,1.1018,465.014,271.086
Redbridge,539,MLR,0.817,480.092,201.015
Redbridge,539,RF,0.7935,455.285,195.228
Redbridge,539,XGBoost,0.7985,457.578,196.452
Richmond upon Thames,484,HistAvg,1.3166,353.755,244.414
Richmond upon Thames,484,MLR,0.8106,343.627,150.479
Richmond upon Thames,484,RF,0.7989,336.905,148.298
Richmond upon Thames,484,XGBoost,0.7966,328.467,147.883
Southwark,583,HistAvg,0.8601,854.25,414.185
Southwark,583,MLR,0.8242,867.56,396.891
Southwark,583,RF,0.8184,881.452,394.115
Southwark,583,XGBoost,0.8323,882.959,400.817
Sutton,421,HistAvg,1.4868,309.593,241.96
Sutton,421,MLR,0.8214,289.481,133.682
Sutton,421,RF,0.8309,287.985,135.215
Sutton,421,XGBoost,0.8416,285.87,136.97
Tower Hamlets,381,HistAvg,0.9492,393.105,269.85
Tower Hamlets,381,MLR,0.8507,389.167,241.848
Tower Hamlets,381,RF,0.8143,407.8,231.48
Tower Hamlets,381,XGBoost,0.8357,414.461,237.585
Waltham Forest,492,HistAvg,0.8879,510.268,280.825
Waltham Forest,492,MLR,0.7889,528.75,249.535
Waltham Forest,492,RF,0.8113,543.913,256.619
Waltham Forest,492,XGBoost,0.8591,562.827,271.719
Wandsworth,481,HistAvg,0.8146,681.466,346.179
Wandsworth,481,MLR,0.7955,702.443,338.057
Wandsworth,481,RF,0.7913,710.858,336.271
Wandsworth,481,XGBoost,0.7873,704.925,334.6
Westminster,419,HistAvg,0.763,912.576,497.587
Westminster,419,MLR,0.7625,909.474,497.293
Westminster,419,RF,0.7761,933.239,506.142
Westminster,419,XGBoost,0.7679,916.817,500.758
