borough,n_test,model,WMAPE,RMSE,MAE
Barking and Dagenham,364,HistAvg,0.893,570.009,262.968
Barking and Dagenham,364,RF,0.7577,549.517,223.131
Barking and Dagenham,364,MLP,0.7807,584.806,229.899
Barking and Dagenham,364,GATv2,0.8107,598.893,238.739
Barnet,993,HistAvg,1.2395,379.816,265.098
Barnet,993,RF,0.8271,371.33,176.882
Barnet,993,MLP,0.8146,370.155,174.211
Barnet,993,GATv2,0.817,377.112,174.72
Bexley,672,HistAvg,1.6969,388.739,256.754
Bexley,672,RF,0.8124,358.14,122.92
Bexley,672,MLP,0.8225,364.016,124.456
Bexley,672,GATv2,0.8169,362.614,123.603
Brent,575,HistAvg,0.8181,541.496,311.062
Brent,575,RF,0.8042,580.765,305.774
Brent,575,MLP,0.7948,578.086,302.205
Brent,575,GATv2,0.8139,589.066,309.453
Bromley,1179,HistAvg,2.6075,309.255,265.171
Bromley,1179,RF,0.8418,221.511,85.61
Bromley,1179,MLP,0.838,221.537,85.22
Bromley,1179,GATv2,0.8256,226.021,83.956
Camden,424,HistAvg,0.8666,609.429,349.975
Camden,424,RF,0.756,564.948,305.31
Camden,424,MLP,0.7714,586.963,311.515
Camden,424,GATv2,0.7561,561.776,305.327
City of London,101,HistAvg,0.798,914.764,520.033
City of London,101,RF,0.8258,954.533,538.123
City of London,101,MLP,0.8014,914.865,522.253
City of London,101,GATv2,0.8114,929.966,528.793
Croydon,1019,HistAvg,1.5477,343.611,254.841
Croydon,1019,RF,0.7926,318.137,130.504
Croydon,1019,MLP,0.7939,320.058,130.718
Croydon,1019,GATv2,0.8156,327.479,134.303
Ealing,683,HistAvg,0.9636,570.286,318.126
Ealing,683,RF,0.8159,586.218,269.373
Ealing,683,MLP,0.8096,579.271,267.296
Ealing,683,GATv2,0.8089,586.247,267.064
Enfield,707,HistAvg,1.1452,433.336,276.391
Enfield,707,RF,0.8448,447.196,203.896
Enfield,707,MLP,0.8342,440.67,201.336
Enfield,707,GATv2,0.8474,450.913,204.534
Greenwich,659,HistAvg,0.9994,596.257,285.229
Greenwich,659,RF,0.8178,610.639,233.385
