borough,n_test,model,WMAPE,RMSE,MAE
Barking and Dagenham,364,HistAvg,0.893,570.009,262.968
Barking and Dagenham,364,MLR,0.7951,588.416,234.16
Barking and Dagenham,364,RF,0.7606,549.191,223.974
Barking and Dagenham,364,XGBoost,0.7404,523.161,218.044
Barnet,993,HistAvg,1.2395,379.816,265.098
Barnet,993,MLR,0.8148,368.858,174.255
Barnet,993,RF,0.8264,370.502,176.739
Barnet,993,XGBoost,0.8248,372.896,176.405
Bexley,672,HistAvg,1.6969,388.739,256.754
Bexley,672,MLR,0.8274,365.857,125.186
Bexley,672,RF,0.8103,358.629,122.604
Bexley,672,XGBoost,0.8109,357.813,122.697
Brent,575,HistAvg,0.8181,541.496,311.062
Brent,575,MLR,0.7939,576.639,301.843
Brent,575,RF,0.803,578.406,305.32
Brent,575,XGBoost,0.8066,582.29,306.696
Bromley,1179,HistAvg,2.6075,309.255,265.171
Bromley,1179,MLR,0.844,221.885,85.831
Bromley,1179,RF,0.8385,220.63,85.274
Bromley,1179,XGBoost,0.8559,224.48,87.037
Camden,424,HistAvg,0.8666,609.429,349.975
Camden,424,MLR,0.7657,572.658,309.209
Camden,424,RF,0.7547,562.927,304.759
Camden,424,XGBoost,0.7955,582.209,321.266
City of London,101,HistAvg,0.798,914.764,520.033
City of London,101,MLR,0.793,899.072,516.777
City of London,101,RF,0.8252,956.476,537.782
City of London,101,XGBoost,0.901,994.5,587.153
Croydon,1019,HistAvg,1.5477,343.611,254.841
Croydon,1019,MLR,0.7824,316.946,128.821
Croydon,1019,RF,0.7925,318.621,130.499
Croydon,1019,XGBoost,0.7967,316.676,131.189
Ealing,683,HistAvg,0.9636,570.286,318.126
Ealing,683,MLR,0.8104,576.904,267.567
Ealing,683,RF,0.8163,585.509,269.493
Ealing,683,XGBoost,0.8194,587.02,270.546
Enfield,707,HistAvg,1.1452,433.336,276.391
Enfield,707,MLR,0.8269,435.012,199.575
Enfield,707,RF,0.8437,446.026,203.623
Enfield,707,XGBoost,0.8581,452.775,207.094
Greenwich,659,HistAvg,0.9994,596.257,285.229
Greenwich,659,MLR,0.8349,619.395,238.278
Greenwich,659,RF,0.8198,610.777,233.973
Greenwich,659,XGBoost,0.8179,610.658,233.432
Hackney,442,HistAvg,0.8267,512.63,325.701
Hackney,442,MLR,0.7599,501.63,299.382
Hackney,442,RF,0.7663,515.376,301.923
Hackney,442,XGBoost,0.7733,516.473,304.684
Hammersmith and Fulham,276,HistAvg,0.7878,748.498,373.545
Hammersmith and Fulham,276,MLR,0.779,754.855,369.332
Hammersmith and Fulham,276,RF,0.7826,758.829,371.062
Hammersmith and Fulham,276,XGBoost,0.7881,763.178,373.676
Haringey,461,HistAvg,0.8402,761.461,380.81
Haringey,461,MLR,0.7721,747.552,349.975
Haringey,461,RF,0.7868,770.388,356.617
Haringey,461,XGBoost,0.7912,771.278,358.64
Harrow,432,HistAvg,1.0881,369.502,256.035
Harrow,432,MLR,0.7768,375.828,182.79
Harrow,432,RF,0.7773,372.84,182.915
Harrow,432,XGBoost,0.7657,364.372,180.184
Havering,691,HistAvg,1.6017,456.404,268.356
Havering,691,MLR,0.8377,441.526,140.354
Havering,691,RF,0.8194,409.025,137.28
Havering,691,XGBoost,0.8438,342.307,141.368
Hillingdon,706,HistAvg,1.3003,592.939,309.8
Hillingdon,706,MLR,0.8762,609.322,208.744
Hillingdon,706,RF,0.8587,600.066,204.572
Hillingdon,706,XGBoost,0.8837,579.813,210.525
Hounslow,651,HistAvg,1.054,427.703,263.162
Hounslow,651,MLR,0.8089,437.843,201.985
Hounslow,651,RF,0.8065,435.91,201.364
Hounslow,651,XGBoost,0.7953,432.193,198.578
Islington,349,HistAvg,0.7866,736.434,408.65
Islington,349,MLR,0.7725,730.469,401.336
Islington,349,RF,0.7635,727.957,396.642
Islington,349,XGBoost,0.7726,730.431,401.379
Kensington and Chelsea,260,HistAvg,0.7473,516.034,323.957
Kensington and Chelsea,260,MLR,0.7452,525.424,323.081
Kensington and Chelsea,260,RF,0.7528,527.899,326.336
Kensington and Chelsea,260,XGBoost,0.7705,526.156,334.026
Kingston upon Thames,391,HistAvg,1.2094,569.502,281.785
Kingston upon Thames,391,MLR,0.8241,569.555,192.019
Kingston upon Thames,391,RF,0.8202,566.578,191.099
Kingston upon Thames,391,XGBoost,0.8277,567.791,192.846
Lambeth,577,HistAvg,0.8618,942.451,428.607
Lambeth,577,MLR,0.8209,951.022,408.306
Lambeth,577,RF,0.8254,941.824,410.549
Lambeth,577,XGBoost,0.8327,938.338,414.148
Lewisham,609,HistAvg,0.9859,512.677,290.318
Lewisham,609,MLR,0.7919,525.843,233.194
Lewisham,609,RF,0.7911,520.985,232.945
Lewisham,609,XGBoost,0.7944,520.179,233.916
Merton,457,HistAvg,1.0347,493.948,268.128
Merton,457,MLR,0.7846,490.164,203.309
Merton,457,RF,0.7769,488.305,201.327
Merton,457,XGBoost,0.7889,495.293,204.437
Newham,465,HistAvg,0.8322,506.085,319.074
Newham,465,MLR,0.7575,514.901,290.435
Newham,465,RF,0.7627,518.505,292.428
Newham,465,XGBoost,0.778,534.588,298.272
Redbridge,539,HistAvg,1.1018,465.014,271.086
Redbridge,539,MLR,0.8065,470.112,198.437
Redbridge,539,RF,0.7777,439.75,191.347
Redbridge,539,XGBoost,0.7863,443.66,193.456
Richmond upon Thames,484,HistAvg,1.3166,353.755,244.414
Richmond upon Thames,484,MLR,0.7716,327.117,143.229
Richmond upon Thames,484,RF,0.7604,316.16,141.159
Richmond upon Thames,484,XGBoost,0.7613,316.103,141.331
Southwark,583,HistAvg,0.8601,854.25,414.185
Southwark,583,MLR,0.8131,864.491,391.552
Southwark,583,RF,0.8051,869.592,387.677
Southwark,583,XGBoost,0.8092,872.7,389.663
Sutton,421,HistAvg,1.4868,309.593,241.96
Sutton,421,MLR,0.8345,286.948,135.806
Sutton,421,RF,0.8406,287.328,136.804
Sutton,421,XGBoost,0.8422,283.378,137.057
Tower Hamlets,381,HistAvg,0.9492,393.105,269.85
Tower Hamlets,381,MLR,0.8275,386.913,235.255
Tower Hamlets,381,RF,0.8032,395.042,228.329
Tower Hamlets,381,XGBoost,0.8323,401.876,236.606
Waltham Forest,492,HistAvg,0.8879,510.268,280.825
Waltham Forest,492,MLR,0.7521,505.919,237.887
Waltham Forest,492,RF,0.7571,510.786,239.458
Waltham Forest,492,XGBoost,0.7878,527.118,249.186
Wandsworth,481,HistAvg,0.8146,681.466,346.179
Wandsworth,481,MLR,0.7769,688.205,330.185
Wandsworth,481,RF,0.775,693.47,329.343
Wandsworth,481,XGBoost,0.7866,697.908,334.282
Westminster,419,HistAvg,0.763,912.576,497.587
Westminster,419,MLR,0.7627,909.995,497.369
Westminster,419,RF,0.8004,945.212,522.003
Westminster,419,XGBoost,0.8075,946.724,526.635
