borough,n_test,model,WMAPE,RMSE,MAE,seed
Barking and Dagenham,364,Gated,0.6783,531.619,199.765,42
Barnet,993,Gated,0.6763,314.433,144.637,42
Bexley,672,Gated,0.6607,306.566,99.971,42
Brent,575,Gated,0.6155,469.946,234.041,42
Bromley,1179,Gated,0.6449,162.493,65.588,42
Camden,424,Gated,0.5007,412.459,202.189,42
City of London,101,Gated,0.5523,669.437,359.938,42
Croydon,1019,Gated,0.6653,271.814,109.542,42
Ealing,683,Gated,0.6305,461.345,208.155,42
Enfield,707,Gated,0.6578,355.54,158.76,42
Greenwich,659,Gated,0.6569,518.8,187.477,42
Hackney,442,Gated,0.4941,360.562,194.682,42
Hammersmith and Fulham,276,Gated,0.6887,643.005,326.54,42
Haringey,461,Gated,0.6242,622.236,282.937,42
Harrow,432,Gated,0.607,274.723,142.838,42
Havering,691,Gated,0.7024,351.403,117.673,42
Hillingdon,706,Gated,0.7368,520.783,175.547,42
Hounslow,651,Gated,0.616,332.681,153.81,42
Islington,349,Gated,0.5841,606.347,303.474,42
Kensington and Chelsea,260,Gated,0.5765,402.503,249.918,42
Kingston upon Thames,391,Gated,0.687,462.455,160.063,42
Lambeth,577,Gated,0.6142,794.529,305.491,42
Lewisham,609,Gated,0.5912,393.529,174.091,42
Merton,457,Gated,0.6432,404.63,166.68,42
Newham,465,Gated,0.5671,383.102,217.408,42
Redbridge,539,Gated,0.6533,343.99,160.722,42
Richmond upon Thames,484,Gated,0.6768,259.327,125.648,42
Southwark,583,Gated,0.589,673.262,283.637,42
Sutton,421,Gated,0.6131,209.425,99.777,42
Tower Hamlets,381,Gated,0.5941,296.177,168.889,42
Waltham Forest,492,Gated,0.6854,478.969,216.788,42
Wandsworth,481,Gated,0.6191,559.645,263.114,42
Westminster,419,Gated,0.5463,669.735,356.292,42
Barking and Dagenham,364,Gated,0.67,523.883,197.316,142
Barnet,993,Gated,0.6673,310.103,142.708,142
Bexley,672,Gated,0.6777,298.442,102.545,142
Brent,575,Gated,0.6156,461.268,234.078,142
Bromley,1179,Gated,0.6497,163.723,66.074,142
Camden,424,Gated,0.5027,425.743,203.009,142
City of London,101,Gated,0.5839,631.49,380.543,142
Croydon,1019,Gated,0.6618,269.858,108.972,142
Ealing,683,Gated,0.6332,459.326,209.059,142
Enfield,707,Gated,0.6692,369.645,161.522,142
Greenwich,659,Gated,0.6515,522.041,185.94,142
Hackney,442,Gated,0.4873,353.538,191.978,142
Hammersmith and Fulham,276,Gated,0.7093,652.497,336.283,142
Haringey,461,Gated,0.6342,628.352,287.479,142
Harrow,432,Gated,0.6188,284.677,145.62,142
Havering,691,Gated,0.7115,369.939,119.207,142
Hillingdon,706,Gated,0.7533,538.881,179.477,142
Hounslow,651,Gated,0.6204,343.983,154.916,142
Islington,349,Gated,0.5874,609.851,305.175,142
Kensington and Chelsea,260,Gated,0.5634,403.995,244.251,142
Kingston upon Thames,391,Gated,0.6864,478.624,159.922,142
Lambeth,577,Gated,0.6155,819.875,306.153,142
Lewisham,609,Gated,0.5994,405.787,176.508,142
Merton,457,Gated,0.6602,418.057,171.088,142
Newham,465,Gated,0.5695,380.099,218.357,142
Redbridge,539,Gated,0.6532,344.178,160.712,142
Richmond upon Thames,484,Gated,0.6842,257.082,127.007,142
Southwark,583,Gated,0.5886,692.26,283.442,142
Sutton,421,Gated,0.6263,213.978,101.918,142
Tower Hamlets,381,Gated,0.5898,305.135,167.667,142
Waltham Forest,492,Gated,0.6527,464.496,206.447,142
Wandsworth,481,Gated,0.6236,563.966,265.04,142
Westminster,419,Gated,0.5566,702.944,362.97,142
Barking and Dagenham,364,Gated,0.657,514.098,193.484,242
Barnet,993,Gated,0.6783,312.876,145.077,242
Bexley,672,Gated,0.6751,296.861,102.155,242
Brent,575,Gated,0.6245,471.136,237.433,242
Bromley,1179,Gated,0.6676,178.516,67.892,242
Camden,424,Gated,0.504,408.738,203.543,242
City of London,101,Gated,0.5649,646.166,368.118,242
Croydon,1019,Gated,0.6621,272.663,109.026,242
Ealing,683,Gated,0.6575,478.786,217.078,242
Enfield,707,Gated,0.6557,353.643,158.253,242
Greenwich,659,Gated,0.6571,513.951,187.538,242
Hackney,442,Gated,0.4877,353.219,192.135,242
Hammersmith and Fulham,276,Gated,0.6891,646.081,326.703,242
Haringey,461,Gated,0.6324,631.636,286.66,242
Harrow,432,Gated,0.6015,282.62,141.535,242
Havering,691,Gated,0.7023,348.264,117.658,242
Hillingdon,706,Gated,0.726,498.611,172.971,242
Hounslow,651,Gated,0.6139,338.734,153.289,242
Islington,349,Gated,0.5813,615.765,301.994,242
Kensington and Chelsea,260,Gated,0.5752,405.183,249.342,242
Kingston upon Thames,391,Gated,0.6897,478.744,160.696,242
Lambeth,577,Gated,0.605,782.462,300.888,242
Lewisham,609,Gated,0.5955,387.587,175.342,242
Merton,457,Gated,0.6536,419.566,169.369,242
Newham,465,Gated,0.584,397.574,223.884,242
Redbridge,539,Gated,0.6638,351.768,163.31,242
Richmond upon Thames,484,Gated,0.6668,261.632,123.774,242
Southwark,583,Gated,0.5828,672.239,280.652,242
Sutton,421,Gated,0.6105,209.774,99.351,242
Tower Hamlets,381,Gated,0.5922,295.269,168.366,242
Waltham Forest,492,Gated,0.6765,470.456,213.956,242
Wandsworth,481,Gated,0.6306,568.13,268.0,242
Westminster,419,Gated,0.5512,686.214,359.473,242
