borough,n_test,model,WMAPE,RMSE,MAE
Barking and Dagenham,364,HistAvg,0.893,570.009,262.968
Barking and Dagenham,364,MLR,0.7043,534.701,207.417
Barking and Dagenham,364,RF,0.6935,518.838,204.243
Barking and Dagenham,364,XGBoost,0.6706,504.096,197.476
Barking and Dagenham,364,MLP,0.6811,524.479,200.563
Barking and Dagenham,364,GATv2,0.7229,560.407,212.881
Barnet,993,HistAvg,1.2395,379.816,265.098
Barnet,993,MLR,0.6935,348.166,148.322
Barnet,993,RF,0.6598,309.932,141.12
Barnet,993,XGBoost,0.6577,301.16,140.667
Barnet,993,MLP,0.6734,309.83,144.021
Barnet,993,GATv2,0.7159,322.361,153.1
Bexley,672,HistAvg,1.6969,388.739,256.754
Bexley,672,MLR,0.6933,305.878,104.9
Bexley,672,RF,0.6847,324.38,103.606
Bexley,672,XGBoost,0.6921,301.404,104.715
Bexley,672,MLP,0.6839,304.498,103.475
Bexley,672,GATv2,0.7606,343.481,115.089
Brent,575,HistAvg,0.8181,541.496,311.062
Brent,575,MLR,0.6306,475.734,239.761
Brent,575,RF,0.652,492.364,247.922
Brent,575,XGBoost,0.642,479.007,244.099
Brent,575,MLP,0.6221,466.001,236.535
Brent,575,GATv2,0.6898,513.731,262.258
Bromley,1179,HistAvg,2.6075,309.255,265.171
Bromley,1179,MLR,0.6641,169.238,67.537
Bromley,1179,RF,0.6545,185.347,66.561
Bromley,1179,XGBoost,0.6504,173.117,66.142
Bromley,1179,MLP,0.6595,163.302,67.068
Bromley,1179,GATv2,0.7112,181.807,72.324
Barking and Dagenham,364,GCN,0.7057,532.972,207.809
Barnet,993,GCN,0.7206,311.805,154.113
Bexley,672,GCN,0.762,316.73,115.289
Brent,575,GCN,0.6693,482.566,254.485
Bromley,1179,GCN,0.7522,195.048,76.496
