borough,n_test,model,WMAPE,RMSE,MAE
Barking and Dagenham,364,HistAvg,0.893,570.009,262.968
Barking and Dagenham,364,MLR,0.7043,534.701,207.417
Barking and Dagenham,364,RF,0.6935,518.838,204.243
Barking and Dagenham,364,XGBoost,0.6706,504.096,197.476
Barking and Dagenham,364,MLP,0.6811,524.479,200.563
Barking and Dagenham,364,GATv2,0.7123,542.955,209.777
Barnet,993,HistAvg,1.2395,379.816,265.098
Barnet,993,MLR,0.6935,348.166,148.322
Barnet,993,RF,0.6598,309.932,141.12
Barnet,993,XGBoost,0.6577,301.16,140.667
Barnet,993,MLP,0.6739,310.024,144.122
Barnet,993,GATv2,0.7096,315.391,151.77
Bexley,672,HistAvg,1.6969,388.739,256.754
Bexley,672,MLR,0.6933,305.878,104.9
Bexley,672,RF,0.6847,324.38,103.606
Bexley,672,XGBoost,0.6921,301.404,104.715
Bexley,672,MLP,0.6827,306.575,103.3
Bexley,672,GATv2,0.7654,348.208,115.816
Brent,575,HistAvg,0.8181,541.496,311.062
Brent,575,MLR,0.6306,475.734,239.761
Brent,575,RF,0.652,492.364,247.922
Brent,575,XGBoost,0.642,479.007,244.099
Brent,575,MLP,0.6233,467.684,236.974
Brent,575,GATv2,0.6849,507.6,260.422
Bromley,1179,HistAvg,2.6075,309.255,265.171
Bromley,1179,MLR,0.6641,169.238,67.537
Bromley,1179,RF,0.6545,185.347,66.561
Bromley,1179,XGBoost,0.6504,173.117,66.142
Bromley,1179,MLP,0.6558,164.658,66.692
Bromley,1179,GATv2,0.8016,214.276,81.52
Camden,424,HistAvg,0.8666,609.429,349.975
Camden,424,MLR,0.5214,446.19,210.558
Camden,424,RF,0.523,449.668,211.207
Camden,424,XGBoost,0.539,460.715,217.675
Camden,424,MLP,0.5004,420.309,202.057
Camden,424,GATv2,0.7386,577.437,298.26
City of London,101,HistAvg,0.798,914.764,520.033
City of London,101,MLR,0.5655,708.56,368.551
City of London,101,RF,0.5729,731.442,373.354
City of London,101,XGBoost,0.5667,703.402,369.289
City of London,101,MLP,0.5762,650.054,375.467
City of London,101,GATv2,0.7684,917.125,500.742
Croydon,1019,HistAvg,1.5477,343.611,254.841
Croydon,1019,MLR,0.6755,274.015,111.225
Croydon,1019,RF,0.6783,278.265,111.688
Croydon,1019,XGBoost,0.6603,264.784,108.717
Croydon,1019,MLP,0.6659,270.232,109.642
Croydon,1019,GATv2,0.7785,314.306,128.194
Ealing,683,HistAvg,0.9636,570.286,318.126
Ealing,683,MLR,0.6504,470.834,214.746
Ealing,683,RF,0.6688,502.064,220.826
Ealing,683,XGBoost,0.6339,466.953,209.298
Ealing,683,MLP,0.6401,466.09,211.327
Ealing,683,GATv2,0.7703,562.312,254.336
Enfield,707,HistAvg,1.1452,433.336,276.391
Enfield,707,MLR,0.6777,363.783,163.561
Enfield,707,RF,0.7019,394.193,169.399
Enfield,707,XGBoost,0.7009,394.895,169.168
Enfield,707,MLP,0.6638,357.276,160.213
Enfield,707,GATv2,0.7732,416.015,186.622
Greenwich,659,HistAvg,0.9994,596.257,285.229
Greenwich,659,MLR,0.6641,515.151,189.529
Greenwich,659,RF,0.656,538.087,187.228
Greenwich,659,XGBoost,0.6363,526.515,181.603
Greenwich,659,MLP,0.6566,508.849,187.386
Greenwich,659,GATv2,0.7694,569.242,219.583
Hackney,442,HistAvg,0.8267,512.63,325.701
Hackney,442,MLR,0.4995,366.237,196.81
Hackney,442,RF,0.5326,391.617,209.832
Hackney,442,XGBoost,0.5063,361.219,199.469
Hackney,442,MLP,0.4908,354.96,193.37
Hackney,442,GATv2,0.7307,508.936,287.864
Hammersmith and Fulham,276,HistAvg,0.7878,748.498,373.545
Hammersmith and Fulham,276,MLR,0.6967,659.552,330.33
Hammersmith and Fulham,276,RF,0.673,677.794,319.098
Hammersmith and Fulham,276,XGBoost,0.6941,673.634,329.077
Hammersmith and Fulham,276,MLP,0.6925,647.394,328.324
Hammersmith and Fulham,276,GATv2,0.7278,698.894,345.084
Haringey,461,HistAvg,0.8402,761.461,380.81
Haringey,461,MLR,0.6572,625.971,297.864
Haringey,461,RF,0.6623,678.695,300.208
Haringey,461,XGBoost,0.6837,689.043,309.917
Haringey,461,MLP,0.6313,619.059,286.165
Haringey,461,GATv2,0.664,662.816,300.965
Harrow,432,HistAvg,1.0881,369.502,256.035
Harrow,432,MLR,0.634,296.505,149.177
Harrow,432,RF,0.6324,300.483,148.808
Harrow,432,XGBoost,0.6014,280.506,141.514
Harrow,432,MLP,0.618,282.036,145.414
Harrow,432,GATv2,0.7522,358.672,177.007
