borough,n_test,model,WMAPE,RMSE,MAE
Barking and Dagenham,364,IDW,0.8035,593.422,236.631
Barnet,993,IDW,0.8581,374.974,183.529
Bexley,672,IDW,0.8559,366.586,129.506
Brent,575,IDW,0.8563,569.887,325.602
Bromley,1179,IDW,0.9483,231.824,96.441
Camden,424,IDW,0.8385,572.753,338.626
City of London,101,IDW,0.8708,984.356,567.474
Croydon,1019,IDW,0.857,332.145,141.119
Ealing,683,IDW,0.8734,604.408,288.357
Enfield,707,IDW,0.876,457.316,211.434
Greenwich,659,IDW,0.8542,632.494,243.79
Hackney,442,IDW,0.8065,550.359,317.765
Hammersmith and Fulham,276,IDW,0.8082,782.836,383.198
Haringey,461,IDW,0.8186,775.506,371.019
Harrow,432,IDW,0.8283,391.934,194.903
Havering,691,IDW,0.875,440.627,146.608
Hillingdon,706,IDW,0.9244,581.901,220.226
Hounslow,651,IDW,0.9094,460.46,227.07
Islington,349,IDW,0.808,759.193,419.753
Kensington and Chelsea,260,IDW,0.8407,572.156,364.475
Kingston upon Thames,391,IDW,0.8929,595.692,208.046
Lambeth,577,IDW,0.8788,983.57,437.065
Lewisham,609,IDW,0.8632,557.644,254.179
Merton,457,IDW,0.848,513.306,219.742
Newham,465,IDW,0.8321,558.618,319.027
Redbridge,539,IDW,0.7995,445.101,196.706
Richmond upon Thames,484,IDW,0.8875,355.727,164.751
Southwark,583,IDW,0.8104,854.973,390.233
Sutton,421,IDW,0.8299,289.401,135.054
Tower Hamlets,381,IDW,0.8218,407.615,233.622
Waltham Forest,492,IDW,0.8669,572.979,274.199
Wandsworth,481,IDW,0.7963,705.712,338.423
Westminster,419,IDW,0.7677,896.337,500.659
