borough,n_test,model,WMAPE,RMSE,MAE
Barking and Dagenham,364,HistAvg,0.893,570.009,262.968
Barking and Dagenham,364,RF,0.7778,533.944,229.047
Barking and Dagenham,364,MLP,0.7938,589.941,233.774
Barking and Dagenham,364,GATv2,0.8344,602.468,245.709
Barnet,993,HistAvg,1.2395,379.816,265.098
Barnet,993,RF,0.8246,372.466,176.355
Barnet,993,MLP,0.8249,375.555,176.409
Barnet,993,GATv2,0.823,376.75,176.008
Bexley,672,HistAvg,1.6969,388.739,256.754
Bexley,672,RF,0.8185,356.546,123.843
Bexley,672,MLP,0.8239,361.253,124.663
Bexley,672,GATv2,0.8239,362.895,124.669
Brent,575,HistAvg,0.8181,541.496,311.062
Brent,575,RF,0.8045,580.696,305.882
Brent,575,MLP,0.8024,581.67,305.103
Brent,575,GATv2,0.8172,588.365,310.719
Bromley,1179,HistAvg,2.6075,309.255,265.171
Bromley,1179,RF,0.8759,213.88,89.071
Bromley,1179,MLP,0.8445,219.682,85.88
Bromley,1179,GATv2,0.8303,224.406,84.437
Camden,424,HistAvg,0.8666,609.429,349.975
Camden,424,RF,0.765,583.831,308.923
Camden,424,MLP,0.7882,600.398,318.28
Camden,424,GATv2,0.7968,625.622,321.771
City of London,101,HistAvg,0.798,914.764,520.033
City of London,101,RF,0.8486,964.99,553.025
City of London,101,MLP,0.8029,922.32,523.239
City of London,101,GATv2,0.8549,965.818,557.112
Croydon,1019,HistAvg,1.5477,343.611,254.841
Croydon,1019,RF,0.8124,322.528,133.771
Croydon,1019,MLP,0.8182,326.481,134.73
Croydon,1019,GATv2,0.8397,329.163,138.262
Ealing,683,HistAvg,0.9636,570.286,318.126
Ealing,683,RF,0.8306,591.951,274.24
Ealing,683,MLP,0.8202,589.971,270.783
Ealing,683,GATv2,0.8281,600.422,273.418
Enfield,707,HistAvg,1.1452,433.336,276.391
Enfield,707,RF,0.8563,452.343,206.667
Enfield,707,MLP,0.8571,453.399,206.869
Enfield,707,GATv2,0.8549,454.591,206.324
Greenwich,659,HistAvg,0.9994,596.257,285.229
Greenwich,659,RF,0.8222,613.941,234.66
Greenwich,659,MLP,0.8241,614.816,235.193
Greenwich,659,GATv2,0.8318,620.349,237.4
Hackney,442,HistAvg,0.8267,512.63,325.701
Hackney,442,RF,0.7772,529.26,306.201
Hackney,442,MLP,0.7781,526.097,306.556
Hackney,442,GATv2,0.8016,560.211,315.803
Hammersmith and Fulham,276,HistAvg,0.7878,748.498,373.545
Hammersmith and Fulham,276,RF,0.7784,757.623,369.073
Hammersmith and Fulham,276,MLP,0.7774,756.856,368.61
Hammersmith and Fulham,276,GATv2,0.7835,762.481,371.471
Haringey,461,HistAvg,0.8402,761.461,380.81
Haringey,461,RF,0.8059,782.798,365.298
Haringey,461,MLP,0.8058,786.064,365.232
Haringey,461,GATv2,0.8162,797.968,369.95
Harrow,432,HistAvg,1.0881,369.502,256.035
Harrow,432,RF,0.7739,373.382,182.117
Harrow,432,MLP,0.7887,382.667,185.598
Harrow,432,GATv2,0.8568,407.039,201.619
Havering,691,HistAvg,1.6017,456.404,268.356
Havering,691,RF,0.8142,402.022,136.416
Havering,691,MLP,0.8373,431.135,140.276
Havering,691,GATv2,0.8391,437.88,140.581
Hillingdon,706,HistAvg,1.3003,592.939,309.8
Hillingdon,706,RF,0.8806,599.276,209.804
Hillingdon,706,MLP,0.8776,601.839,209.092
Hillingdon,706,GATv2,0.9033,621.175,215.209
Hounslow,651,HistAvg,1.054,427.703,263.162
