borough,n_test,model,WMAPE,RMSE,MAE
Barking and Dagenham,364,HistAvg,0.893,570.009,262.968
Barking and Dagenham,364,MLR,0.8208,597.805,241.702
Barking and Dagenham,364,RF,0.7765,530.96,228.681
Barking and Dagenham,364,XGBoost,0.7251,477.006,213.544
Barnet,993,HistAvg,1.2395,379.816,265.098
Barnet,993,MLR,0.8344,371.385,178.447
Barnet,993,RF,0.8248,372.392,176.406
Barnet,993,XGBoost,0.8263,370.618,176.713
Bexley,672,HistAvg,1.6969,388.739,256.754
Bexley,672,MLR,0.8341,364.364,126.209
Bexley,672,RF,0.8181,355.898,123.792
Bexley,672,XGBoost,0.8137,355.104,123.126
Brent,575,HistAvg,0.8181,541.496,311.062
Brent,575,MLR,0.8068,583.284,306.752
Brent,575,RF,0.8036,579.835,305.548
Brent,575,XGBoost,0.8049,578.825,306.025
Bromley,1179,HistAvg,2.6075,309.255,265.171
Bromley,1179,MLR,0.862,218.619,87.665
Bromley,1179,RF,0.8783,214.908,89.315
Bromley,1179,XGBoost,0.892,213.648,90.709
Camden,424,HistAvg,0.8666,609.429,349.975
Camden,424,MLR,0.7689,572.815,310.511
Camden,424,RF,0.7667,585.092,309.636
Camden,424,XGBoost,0.7803,560.116,315.095
City of London,101,HistAvg,0.798,914.764,520.033
City of London,101,MLR,0.8142,926.267,530.619
City of London,101,RF,0.8552,964.114,557.323
City of London,101,XGBoost,0.8721,978.048,568.315
Croydon,1019,HistAvg,1.5477,343.611,254.841
Croydon,1019,MLR,0.813,319.045,133.866
Croydon,1019,RF,0.8132,322.256,133.896
Croydon,1019,XGBoost,0.8158,320.977,134.327
Ealing,683,HistAvg,0.9636,570.286,318.126
Ealing,683,MLR,0.8242,587.52,272.132
Ealing,683,RF,0.8289,590.781,273.671
Ealing,683,XGBoost,0.8279,594.556,273.341
Enfield,707,HistAvg,1.1452,433.336,276.391
Enfield,707,MLR,0.8334,438.578,201.142
Enfield,707,RF,0.8567,451.849,206.759
Enfield,707,XGBoost,0.8784,459.488,212.015
Greenwich,659,HistAvg,0.9994,596.257,285.229
Greenwich,659,MLR,0.8392,621.149,239.509
Greenwich,659,RF,0.8216,613.564,234.468
Greenwich,659,XGBoost,0.8225,617.712,234.739
Hackney,442,HistAvg,0.8267,512.63,325.701
Hackney,442,MLR,0.7748,522.731,305.269
Hackney,442,RF,0.7819,531.751,308.06
Hackney,442,XGBoost,0.7766,520.149,305.96
Hammersmith and Fulham,276,HistAvg,0.7878,748.498,373.545
Hammersmith and Fulham,276,MLR,0.7812,754.605,370.41
Hammersmith and Fulham,276,RF,0.7788,758.48,369.251
Hammersmith and Fulham,276,XGBoost,0.7957,767.795,377.285
Haringey,461,HistAvg,0.8402,761.461,380.81
Haringey,461,MLR,0.8002,783.236,362.694
Haringey,461,RF,0.8079,784.225,366.177
