borough,n_test,model,WMAPE,RMSE,MAE
Barking and Dagenham,364,HistAvg,0.893,570.009,262.968
Barking and Dagenham,364,MLR,0.7168,539.377,211.082
Barking and Dagenham,364,RF,0.6925,505.747,203.943
Barking and Dagenham,364,XGBoost,0.6693,511.632,197.105
Barking and Dagenham,364,MLP,0.6913,527.288,203.579
Barking and Dagenham,364,GATv2,0.7459,563.966,219.671
Barnet,993,HistAvg,1.2395,379.816,265.098
Barnet,993,MLR,0.7126,360.28,152.393
Barnet,993,RF,0.6529,308.077,139.628
Barnet,993,XGBoost,0.6491,301.156,138.819
Barnet,993,MLP,0.6786,308.954,145.138
Barnet,993,GATv2,0.6977,316.571,149.209
Bexley,672,HistAvg,1.6969,388.739,256.754
Bexley,672,MLR,0.6963,299.589,105.357
Bexley,672,RF,0.6881,313.556,104.112
Bexley,672,XGBoost,0.7286,305.796,110.242
Bexley,672,MLP,0.6805,300.895,102.961
Bexley,672,GATv2,0.7942,359.216,120.174
Brent,575,HistAvg,0.8181,541.496,311.062
Brent,575,MLR,0.6371,476.447,242.245
Brent,575,RF,0.6401,478.199,243.375
Brent,575,XGBoost,0.6423,480.919,244.207
Brent,575,MLP,0.6207,463.448,236.017
Brent,575,GATv2,0.7734,569.934,294.057
Bromley,1179,HistAvg,2.6075,309.255,265.171
Bromley,1179,MLR,0.6855,179.279,69.712
Bromley,1179,RF,0.6412,168.048,65.207
Bromley,1179,XGBoost,0.6525,169.475,66.361
Bromley,1179,MLP,0.6582,162.541,66.931
Bromley,1179,GATv2,0.7586,211.083,77.144
Camden,424,HistAvg,0.8666,609.429,349.975
Camden,424,MLR,0.5176,444.391,209.036
Camden,424,RF,0.5283,457.683,213.337
Camden,424,XGBoost,0.5155,433.292,208.168
Camden,424,MLP,0.5073,432.551,204.849
Camden,424,GATv2,0.705,566.021,284.686
City of London,101,HistAvg,0.798,914.764,520.033
City of London,101,MLR,0.5847,729.957,381.032
City of London,101,RF,0.5634,708.713,367.124
City of London,101,XGBoost,0.5526,670.312,360.118
City of London,101,MLP,0.5892,663.598,383.989
City of London,101,GATv2,0.8205,970.219,534.68
Croydon,1019,HistAvg,1.5477,343.611,254.841
Croydon,1019,MLR,0.6809,272.69,112.118
Croydon,1019,RF,0.6665,273.37,109.738
Croydon,1019,XGBoost,0.6589,267.732,108.497
Croydon,1019,MLP,0.6745,275.692,111.068
Croydon,1019,GATv2,0.7424,293.641,122.243
Ealing,683,HistAvg,0.9636,570.286,318.126
Ealing,683,MLR,0.6578,478.529,217.162
Ealing,683,RF,0.6645,495.165,219.398
Ealing,683,XGBoost,0.638,465.245,210.628
Ealing,683,MLP,0.6509,475.243,214.884
Ealing,683,GATv2,0.7275,533.023,240.191
Enfield,707,HistAvg,1.1452,433.336,276.391
Enfield,707,MLR,0.6684,360.65,161.332
Enfield,707,RF,0.6983,390.581,168.547
Enfield,707,XGBoost,0.7084,387.737,170.978
Enfield,707,MLP,0.6651,366.68,160.515
Enfield,707,GATv2,0.7364,400.865,177.737
Greenwich,659,HistAvg,0.9994,596.257,285.229
Greenwich,659,MLR,0.6709,509.89,191.46
Greenwich,659,RF,0.6536,530.716,186.537
Greenwich,659,XGBoost,0.6435,536.147,183.645
Greenwich,659,MLP,0.6667,515.596,190.258
Greenwich,659,GATv2,0.725,545.198,206.909
Hackney,442,HistAvg,0.8267,512.63,325.701
Hackney,442,MLR,0.5216,379.594,205.514
Hackney,442,RF,0.5222,380.542,205.734
Hackney,442,XGBoost,0.5106,363.47,201.176
Hackney,442,MLP,0.498,361.144,196.217
Hackney,442,GATv2,0.7359,523.427,289.946
Hammersmith and Fulham,276,HistAvg,0.7878,748.498,373.545
Hammersmith and Fulham,276,MLR,0.6997,659.442,331.756
Hammersmith and Fulham,276,RF,0.6745,665.092,319.807
Hammersmith and Fulham,276,XGBoost,0.6996,681.203,331.715
Hammersmith and Fulham,276,MLP,0.6873,650.198,325.852
Hammersmith and Fulham,276,GATv2,0.7557,759.734,358.318
Haringey,461,HistAvg,0.8402,761.461,380.81
Haringey,461,MLR,0.6617,646.336,299.924
Haringey,461,RF,0.6705,686.161,303.927
Haringey,461,XGBoost,0.7074,712.336,320.639
Haringey,461,MLP,0.6494,644.065,294.356
Haringey,461,GATv2,0.7386,729.577,334.778
Harrow,432,HistAvg,1.0881,369.502,256.035
Harrow,432,MLR,0.6325,289.662,148.842
Harrow,432,RF,0.6258,293.801,147.262
Harrow,432,XGBoost,0.6063,273.026,142.657
Harrow,432,MLP,0.6184,281.663,145.527
Harrow,432,GATv2,0.7636,367.128,179.687
Havering,691,HistAvg,1.6017,456.404,268.356
Havering,691,MLR,0.7225,348.341,121.044
Havering,691,RF,0.7156,352.396,119.898
Havering,691,XGBoost,0.9997,372.024,167.485
Havering,691,MLP,0.7314,338.825,122.548
Havering,691,GATv2,0.7625,393.849,127.752
Hillingdon,706,HistAvg,1.3003,592.939,309.8
Hillingdon,706,MLR,0.7342,482.25,174.921
Hillingdon,706,RF,0.7428,537.839,176.978
Hillingdon,706,XGBoost,0.8054,559.054,191.873
Hillingdon,706,MLP,0.7315,488.093,174.287
Hillingdon,706,GATv2,0.78,546.537,185.824
Hounslow,651,HistAvg,1.054,427.703,263.162
Hounslow,651,MLR,0.6372,361.809,159.107
Hounslow,651,RF,0.6335,359.837,158.173
Hounslow,651,XGBoost,0.6386,351.591,159.46
Hounslow,651,MLP,0.6148,335.48,153.503
Hounslow,651,GATv2,0.7378,405.706,184.22
Islington,349,HistAvg,0.7866,736.434,408.65
Islington,349,MLR,0.5882,623.622,305.601
Islington,349,RF,0.5934,616.132,308.294
Islington,349,XGBoost,0.6061,613.504,314.868
Islington,349,MLP,0.583,606.061,302.866
Islington,349,GATv2,0.7639,749.888,396.861
Kensington and Chelsea,260,HistAvg,0.7473,516.034,323.957
Kensington and Chelsea,260,MLR,0.6107,428.209,264.754
Kensington and Chelsea,260,RF,0.5344,403.451,231.681
Kensington and Chelsea,260,XGBoost,0.5448,405.513,236.196
Kensington and Chelsea,260,MLP,0.5821,401.098,252.347
Kensington and Chelsea,260,GATv2,0.6723,495.453,291.451
Kingston upon Thames,391,HistAvg,1.2094,569.502,281.785
Kingston upon Thames,391,MLR,0.7187,478.778,167.452
Kingston upon Thames,391,RF,0.7035,510.446,163.921
Kingston upon Thames,391,XGBoost,0.699,517.072,162.862
Kingston upon Thames,391,MLP,0.6948,476.187,161.898
Kingston upon Thames,391,GATv2,0.7809,528.862,181.961
Lambeth,577,HistAvg,0.8618,942.451,428.607
Lambeth,577,MLR,0.6299,830.266,313.303
Lambeth,577,RF,0.6181,819.526,307.412
Lambeth,577,XGBoost,0.6026,790.413,299.692
Lambeth,577,MLP,0.6058,805.245,301.305
Lambeth,577,GATv2,0.7404,927.389,368.271
Lewisham,609,HistAvg,0.9859,512.677,290.318
Lewisham,609,MLR,0.5939,390.868,174.894
Lewisham,609,RF,0.6107,425.915,179.819
Lewisham,609,XGBoost,0.6359,448.557,187.261
Lewisham,609,MLP,0.5992,400.188,176.431
Lewisham,609,GATv2,0.6384,446.564,187.999
Merton,457,HistAvg,1.0347,493.948,268.128
Merton,457,MLR,0.6724,429.507,174.239
Merton,457,RF,0.6621,444.077,171.575
Merton,457,XGBoost,0.6796,438.978,176.115
Merton,457,MLP,0.6591,434.915,170.789
Merton,457,GATv2,0.7144,476.074,185.119
Newham,465,HistAvg,0.8322,506.085,319.074
Newham,465,MLR,0.5691,375.36,218.205
Newham,465,RF,0.602,418.048,230.81
Newham,465,XGBoost,0.6082,422.856,233.179
Newham,465,MLP,0.5813,386.259,222.868
Newham,465,GATv2,0.641,435.726,245.745
Redbridge,539,HistAvg,1.1018,465.014,271.086
Redbridge,539,MLR,0.6769,356.636,166.54
Redbridge,539,RF,0.6484,335.357,159.523
Redbridge,539,XGBoost,0.6375,323.222,156.835
Redbridge,539,MLP,0.6652,343.095,163.656
Redbridge,539,GATv2,0.7431,404.982,182.822
Richmond upon Thames,484,HistAvg,1.3166,353.755,244.414
Richmond upon Thames,484,MLR,0.6717,263.94,124.688
Richmond upon Thames,484,RF,0.6503,253.02,120.711
Richmond upon Thames,484,XGBoost,0.6556,259.774,121.707
Richmond upon Thames,484,MLP,0.7277,262.514,135.086
Richmond upon Thames,484,GATv2,0.736,315.713,136.633
Southwark,583,HistAvg,0.8601,854.25,414.185
Southwark,583,MLR,0.5824,648.497,280.46
Southwark,583,RF,0.5975,708.69,287.709
Southwark,583,XGBoost,0.584,690.144,281.205
Southwark,583,MLP,0.575,672.032,276.899
Southwark,583,GATv2,0.7619,845.383,366.88
Sutton,421,HistAvg,1.4868,309.593,241.96
Sutton,421,MLR,0.6521,226.658,106.118
Sutton,421,RF,0.6644,240.364,108.127
