borough,n_test,model,WMAPE,RMSE,MAE
Barking and Dagenham,364,HistAvg,0.893,570.009,262.968
Barking and Dagenham,364,MLP,0.6811,524.479,200.563
Barking and Dagenham,364,GATv2,0.7229,560.407,212.881
Barnet,993,HistAvg,1.2395,379.816,265.098
Barnet,993,MLP,0.6734,309.83,144.021
Barnet,993,GATv2,0.7159,322.361,153.1
Bexley,672,HistAvg,1.6969,388.739,256.754
Bexley,672,MLP,0.6839,304.498,103.475
Bexley,672,GATv2,0.7606,343.481,115.089
Brent,575,HistAvg,0.8181,541.496,311.062
Brent,575,MLP,0.6221,466.001,236.535
Brent,575,GATv2,0.6898,513.731,262.258
Bromley,1179,HistAvg,2.6075,309.255,265.171
Bromley,1179,MLP,0.6595,163.302,67.068
Bromley,1179,GATv2,0.7112,181.807,72.324
Camden,424,HistAvg,0.8666,609.429,349.975
Camden,424,MLP,0.5026,419.062,202.953
Camden,424,GATv2,0.658,510.298,265.717
City of London,101,HistAvg,0.798,914.764,520.033
City of London,101,MLP,0.5702,658.32,371.594
City of London,101,GATv2,0.7855,946.188,511.913
Croydon,1019,HistAvg,1.5477,343.611,254.841
Croydon,1019,MLP,0.6678,271.155,109.957
Croydon,1019,GATv2,0.7071,284.764,116.437
Ealing,683,HistAvg,0.9636,570.286,318.126
Ealing,683,MLP,0.6386,463.697,210.841
Ealing,683,GATv2,0.7648,569.512,252.515
Enfield,707,HistAvg,1.1452,433.336,276.391
Enfield,707,MLP,0.6669,359.644,160.957
Enfield,707,GATv2,0.7814,428.456,188.593
Greenwich,659,HistAvg,0.9994,596.257,285.229
Greenwich,659,MLP,0.6558,510.533,187.158
Greenwich,659,GATv2,0.7265,547.373,207.331
Hackney,442,HistAvg,0.8267,512.63,325.701
Hackney,442,MLP,0.4931,357.909,194.254
Hackney,442,GATv2,0.6877,479.758,270.956
Hammersmith and Fulham,276,HistAvg,0.7878,748.498,373.545
Hammersmith and Fulham,276,MLP,0.6872,646.16,325.807
Hammersmith and Fulham,276,GATv2,0.6958,690.919,329.884
Haringey,461,HistAvg,0.8402,761.461,380.81
Haringey,461,MLP,0.6346,619.24,287.619
Haringey,461,GATv2,0.6904,679.712,312.911
Harrow,432,HistAvg,1.0881,369.502,256.035
Harrow,432,MLP,0.6201,283.054,145.909
Harrow,432,GATv2,0.7511,359.967,176.747
Havering,691,HistAvg,1.6017,456.404,268.356
Havering,691,MLP,0.7073,348.011,118.504
Havering,691,GATv2,0.7754,365.952,129.914
Hillingdon,706,HistAvg,1.3003,592.939,309.8
Hillingdon,706,MLP,0.7296,499.557,173.832
Hillingdon,706,GATv2,0.8025,574.675,191.182
Hounslow,651,HistAvg,1.054,427.703,263.162
Hounslow,651,MLP,0.6162,337.407,153.85
Hounslow,651,GATv2,0.7326,399.646,182.925
Islington,349,HistAvg,0.7866,736.434,408.65
Islington,349,MLP,0.5869,607.002,304.891
Islington,349,GATv2,0.661,650.191,343.394
Kensington and Chelsea,260,HistAvg,0.7473,516.034,323.957
Kensington and Chelsea,260,MLP,0.5803,401.402,251.594
Kensington and Chelsea,260,GATv2,0.6059,435.332,262.677
Kingston upon Thames,391,HistAvg,1.2094,569.502,281.785
Kingston upon Thames,391,MLP,0.6924,480.688,161.329
Kingston upon Thames,391,GATv2,0.7507,513.918,174.916
Lambeth,577,HistAvg,0.8618,942.451,428.607
Lambeth,577,MLP,0.6087,801.273,302.77
Lambeth,577,GATv2,0.7645,942.394,380.242
Lewisham,609,HistAvg,0.9859,512.677,290.318
Lewisham,609,MLP,0.6006,399.495,176.85
Lewisham,609,GATv2,0.7202,499.063,212.07
Merton,457,HistAvg,1.0347,493.948,268.128
Merton,457,MLP,0.6558,419.699,169.943
Merton,457,GATv2,0.7333,486.158,190.01
Newham,465,HistAvg,0.8322,506.085,319.074
Newham,465,MLP,0.5755,384.329,220.637
