borough,n_test,model,WMAPE,RMSE,MAE
Barking and Dagenham,364,HistAvg,0.893,570.009,262.968
Barking and Dagenham,364,MLP,0.6811,524.479,200.563
Barking and Dagenham,364,GATv2,0.7229,560.407,212.881
Barnet,993,HistAvg,1.2395,379.816,265.098
Barnet,993,MLP,0.6734,309.83,144.021
Barnet,993,GATv2,0.7159,322.361,153.1
Bexley,672,HistAvg,1.6969,388.739,256.754
Bexley,672,MLP,0.6839,304.498,103.475
Bexley,672,GATv2,0.7606,343.481,115.089
Brent,575,HistAvg,0.8181,541.496,311.062
Brent,575,MLP,0.6221,466.001,236.535
Brent,575,GATv2,0.6898,513.731,262.258
Bromley,1179,HistAvg,2.6075,309.255,265.171
Bromley,1179,MLP,0.6595,163.302,67.068
Bromley,1179,GATv2,0.7112,181.807,72.324
Barking and Dagenham,364,MLR-tuned,0.7054,535.267,207.721
Barking and Dagenham,364,RF-tuned,0.6912,517.162,203.544
Barking and Dagenham,364,XGBoost-tuned,0.6769,506.091,199.334
Barnet,993,MLR-tuned,0.6926,347.257,148.126
Barnet,993,RF-tuned,0.6503,302.263,139.086
Barnet,993,XGBoost-tuned,0.6589,312.004,140.926
Bexley,672,MLR-tuned,0.6925,306.233,104.778
Bexley,672,RF-tuned,0.6864,317.621,103.852
Bexley,672,XGBoost-tuned,0.6884,321.435,104.167
Brent,575,MLR-tuned,0.631,476.287,239.918
Brent,575,RF-tuned,0.6321,474.099,240.337
Brent,575,XGBoost-tuned,0.6475,485.18,246.203
Bromley,1179,MLR-tuned,0.6632,169.043,67.449
Bromley,1179,RF-tuned,0.6509,177.691,66.195
Bromley,1179,XGBoost-tuned,0.656,178.587,66.708
