borough,n_test,model,WMAPE,RMSE,MAE
Barking and Dagenham,364,HistAvg,0.259,0.0951,0.0703
Barking and Dagenham,364,RF,0.2511,0.0952,0.0682
Barking and Dagenham,364,MLP,0.2535,0.0906,0.0688
Barking and Dagenham,364,GATv2,0.283,0.0975,0.0769
Barnet,993,HistAvg,0.3368,0.117,0.0888
Barnet,993,RF,0.3521,0.1227,0.0928
Barnet,993,MLP,0.3518,0.1201,0.0928
Barnet,993,GATv2,0.3448,0.1172,0.0909
Bexley,672,HistAvg,0.2333,0.0879,0.0654
Bexley,672,RF,0.2443,0.0918,0.0685
Bexley,672,MLP,0.2565,0.0943,0.0719
Bexley,672,GATv2,0.2475,0.0912,0.0694
Brent,575,HistAvg,0.2838,0.1236,0.0924
Brent,575,RF,0.2845,0.1293,0.0927
Brent,575,MLP,0.2799,0.1207,0.0912
Brent,575,GATv2,0.2915,0.1246,0.0949
Bromley,1179,HistAvg,0.3734,0.1133,0.0896
Bromley,1179,RF,0.3035,0.0907,0.0728
Bromley,1179,MLP,0.2979,0.0882,0.0715
Bromley,1179,GATv2,0.4606,0.1312,0.1106
Camden,424,HistAvg,0.2699,0.1074,0.0804
Camden,424,RF,0.2621,0.1032,0.0781
Camden,424,MLP,0.2714,0.107,0.0809
Camden,424,GATv2,0.3595,0.1425,0.1071
City of London,101,HistAvg,0.3704,0.1251,0.0966
City of London,101,RF,0.4266,0.1332,0.1112
City of London,101,MLP,0.3865,0.1258,0.1008
City of London,101,GATv2,0.5295,0.1628,0.1381
Croydon,1019,HistAvg,0.3332,0.1105,0.0891
Croydon,1019,RF,0.2591,0.0899,0.0693
Croydon,1019,MLP,0.2777,0.0928,0.0743
Croydon,1019,GATv2,0.2806,0.0932,0.0751
Ealing,683,HistAvg,0.3194,0.1334,0.1059
Ealing,683,RF,0.2855,0.1181,0.0947
Ealing,683,MLP,0.2999,0.1277,0.0994
Ealing,683,GATv2,0.3144,0.1318,0.1042
Enfield,707,HistAvg,0.3054,0.1086,0.0839
Enfield,707,RF,0.2839,0.1001,0.078
Enfield,707,MLP,0.281,0.1004,0.0772
Enfield,707,GATv2,0.2833,0.1019,0.0779
Greenwich,659,HistAvg,0.2824,0.108,0.0843
Greenwich,659,RF,0.2867,0.1105,0.0856
Greenwich,659,MLP,0.2815,0.1073,0.084
Greenwich,659,GATv2,0.2993,0.1135,0.0893
Hackney,442,HistAvg,0.2663,0.1007,0.0783
Hackney,442,RF,0.2557,0.097,0.0752
Hackney,442,MLP,0.2607,0.0978,0.0766
Hackney,442,GATv2,0.3749,0.1433,0.1102
Hammersmith and Fulham,276,HistAvg,0.3077,0.1033,0.0796
Hammersmith and Fulham,276,RF,0.3021,0.1031,0.0781
Hammersmith and Fulham,276,MLP,0.3374,0.1152,0.0873
Hammersmith and Fulham,276,GATv2,0.3494,0.1197,0.0904
Haringey,461,HistAvg,0.2468,0.0993,0.0752
Haringey,461,RF,0.2344,0.0983,0.0714
Haringey,461,MLP,0.2355,0.0966,0.0718
Haringey,461,GATv2,0.3055,0.118,0.0931
Harrow,432,HistAvg,0.2687,0.1107,0.0854
Harrow,432,RF,0.2623,0.1069,0.0834
Harrow,432,MLP,0.2722,0.1107,0.0865
Harrow,432,GATv2,0.2692,0.1105,0.0856
Havering,691,HistAvg,0.3985,0.1176,0.0914
Havering,691,RF,0.3508,0.1001,0.0804
Havering,691,MLP,0.3284,0.0986,0.0753
Havering,691,GATv2,0.3554,0.106,0.0815
Hillingdon,706,HistAvg,0.3386,0.1236,0.0987
Hillingdon,706,RF,0.3247,0.1205,0.0946
Hillingdon,706,MLP,0.3253,0.1181,0.0948
Hillingdon,706,GATv2,0.3726,0.1374,0.1086
Hounslow,651,HistAvg,0.3835,0.1454,0.1217
Hounslow,651,RF,0.3731,0.1459,0.1184
Hounslow,651,MLP,0.3632,0.1409,0.1153
Hounslow,651,GATv2,0.3635,0.1397,0.1154
Islington,349,HistAvg,0.2331,0.0923,0.0735
Islington,349,RF,0.2122,0.0852,0.0669
Islington,349,MLP,0.2204,0.0877,0.0695
Islington,349,GATv2,0.2507,0.0986,0.079
Kensington and Chelsea,260,HistAvg,0.2033,0.0858,0.0587
Kensington and Chelsea,260,RF,0.2233,0.0925,0.0644
Kensington and Chelsea,260,MLP,0.2208,0.0911,0.0637
Kensington and Chelsea,260,GATv2,0.2182,0.0894,0.063
Kingston upon Thames,391,HistAvg,0.302,0.1182,0.0951
Kingston upon Thames,391,RF,0.2925,0.116,0.0921
Kingston upon Thames,391,MLP,0.2874,0.1143,0.0905
Kingston upon Thames,391,GATv2,0.2876,0.1147,0.0905
Lambeth,577,HistAvg,0.2603,0.1061,0.0797
Lambeth,577,RF,0.2605,0.106,0.0797
Lambeth,577,MLP,0.2537,0.1035,0.0777
Lambeth,577,GATv2,0.2793,0.1116,0.0855
Lewisham,609,HistAvg,0.2323,0.0882,0.0675
Lewisham,609,RF,0.2389,0.0922,0.0694
Lewisham,609,MLP,0.235,0.0899,0.0683
Lewisham,609,GATv2,0.2377,0.0911,0.0691
Merton,457,HistAvg,0.2943,0.1133,0.0885
Merton,457,RF,0.3009,0.1136,0.0904
Merton,457,MLP,0.2896,0.1124,0.087
Merton,457,GATv2,0.2866,0.1116,0.0861
Newham,465,HistAvg,0.2989,0.1086,0.0853
Newham,465,RF,0.3024,0.1092,0.0862
Newham,465,MLP,0.3165,0.1137,0.0903
Newham,465,GATv2,0.3122,0.1121,0.089
Redbridge,539,HistAvg,0.3258,0.1121,0.0901
Redbridge,539,RF,0.3084,0.1069,0.0853
Redbridge,539,MLP,0.314,0.1066,0.0868
Redbridge,539,GATv2,0.553,0.1833,0.1529
Richmond upon Thames,484,HistAvg,0.3128,0.1172,0.0947
Richmond upon Thames,484,RF,0.3051,0.1155,0.0923
Richmond upon Thames,484,MLP,0.297,0.1138,0.0899
Richmond upon Thames,484,GATv2,0.3048,0.1198,0.0922
Southwark,583,HistAvg,0.2864,0.1213,0.0928
Southwark,583,RF,0.2661,0.1106,0.0862
Southwark,583,MLP,0.2746,0.1156,0.089
Southwark,583,GATv2,0.2702,0.1137,0.0876
Sutton,421,HistAvg,0.2154,0.0839,0.0617
Sutton,421,RF,0.2163,0.0857,0.062
Sutton,421,MLP,0.2162,0.0856,0.0619
Sutton,421,GATv2,0.2233,0.0863,0.064
Tower Hamlets,381,HistAvg,0.3695,0.1209,0.1004
Tower Hamlets,381,RF,0.3489,0.1174,0.0948
Tower Hamlets,381,MLP,0.3833,0.1265,0.1042
Tower Hamlets,381,GATv2,0.3845,0.1271,0.1045
Waltham Forest,492,HistAvg,0.3383,0.12,0.0958
Waltham Forest,492,RF,0.3441,0.1233,0.0974
Waltham Forest,492,MLP,0.3127,0.1155,0.0885
Waltham Forest,492,GATv2,0.3191,0.1165,0.0904
Wandsworth,481,HistAvg,0.2626,0.1063,0.0812
Wandsworth,481,RF,0.2698,0.1081,0.0834
Wandsworth,481,MLP,0.2647,0.1062,0.0819
Wandsworth,481,GATv2,0.2657,0.1062,0.0822
Westminster,419,HistAvg,0.3117,0.1193,0.0914
Westminster,419,RF,0.3153,0.1177,0.0925
Westminster,419,MLP,0.3028,0.1167,0.0888
Westminster,419,GATv2,0.3301,0.1249,0.0968
