borough,STOPCODE,alpha,seed
Barking and Dagenham,1029,0.5363088,42
Barking and Dagenham,1216,0.574807,42
Barking and Dagenham,1217,0.5822238,42
Barking and Dagenham,14100,0.5884635,42
Barking and Dagenham,14119,0.44981453,42
Barking and Dagenham,14677,0.36626035,42
Barking and Dagenham,14693,0.4939473,42
Barking and Dagenham,14694,0.4627454,42
Barking and Dagenham,14718,0.46709314,42
Barking and Dagenham,14951,0.6214717,42
Barking and Dagenham,14952,0.5756503,42
Barking and Dagenham,14953,0.5897157,42
Barking and Dagenham,14954,0.5823141,42
Barking and Dagenham,15003,0.5379684,42
Barking and Dagenham,15004,0.5345671,42
Barking and Dagenham,15445,0.54644984,42
Barking and Dagenham,15447,0.5124148,42
Barking and Dagenham,15448,0.50189924,42
Barking and Dagenham,15449,0.51211035,42
Barking and Dagenham,15450,0.4868321,42
Barking and Dagenham,15451,0.49946472,42
Barking and Dagenham,15452,0.5644255,42
Barking and Dagenham,15453,0.5957893,42
Barking and Dagenham,15454,0.61743015,42
Barking and Dagenham,15455,0.61127084,42
Barking and Dagenham,15456,0.65971756,42
Barking and Dagenham,15457,0.6470358,42
Barking and Dagenham,15458,0.560818,42
Barking and Dagenham,15459,0.5671358,42
Barking and Dagenham,15460,0.5447121,42
Barking and Dagenham,15461,0.5593423,42
Barking and Dagenham,15462,0.5264278,42
Barking and Dagenham,15463,0.5264125,42
Barking and Dagenham,15464,0.5457893,42
Barking and Dagenham,15465,0.5316793,42
Barking and Dagenham,15466,0.57886755,42
Barking and Dagenham,15467,0.579206,42
Barking and Dagenham,15468,0.435292,42
Barking and Dagenham,15469,0.47197536,42
Barking and Dagenham,15470,0.45125797,42
Barking and Dagenham,15477,0.5627346,42
Barking and Dagenham,15478,0.58569515,42
Barking and Dagenham,15479,0.6495758,42
Barking and Dagenham,15480,0.6504396,42
Barking and Dagenham,15481,0.4617153,42
Barking and Dagenham,15482,0.44026998,42
Barking and Dagenham,15504,0.42639038,42
Barking and Dagenham,15505,0.5023749,42
Barking and Dagenham,15506,0.51796263,42
Barking and Dagenham,15508,0.59854925,42
Barking and Dagenham,15513,0.58704364,42
Barking and Dagenham,15514,0.57763904,42
Barking and Dagenham,15515,0.59393847,42
Barking and Dagenham,15517,0.5681061,42
Barking and Dagenham,15518,0.52642447,42
Barking and Dagenham,15519,0.5600384,42
Barking and Dagenham,15520,0.5627751,42
Barking and Dagenham,15522,0.5340239,42
Barking and Dagenham,15586,0.48610297,42
Barking and Dagenham,16480,0.6268482,42
Barking and Dagenham,16481,0.5163142,42
Barking and Dagenham,16484,0.4182033,42
Barking and Dagenham,16485,0.48559612,42
Barking and Dagenham,1676,0.47091222,42
Barking and Dagenham,1677,0.4705023,42
Barking and Dagenham,16970,0.45592886,42
Barking and Dagenham,1709,0.42233846,42
Barking and Dagenham,1710,0.45249644,42
Barking and Dagenham,1711,0.41528872,42
Barking and Dagenham,18025,0.4254828,42
Barking and Dagenham,18026,0.40755093,42
Barking and Dagenham,18296,0.56853294,42
Barking and Dagenham,18297,0.5742297,42
Barking and Dagenham,18298,0.4735231,42
Barking and Dagenham,18299,0.47109312,42
Barking and Dagenham,1830,0.53763634,42
Barking and Dagenham,18301,0.47071648,42
Barking and Dagenham,18304,0.42706516,42
Barking and Dagenham,18305,0.42807347,42
Barking and Dagenham,18306,0.40746155,42
Barking and Dagenham,18307,0.4083594,42
Barking and Dagenham,18308,0.4463942,42
Barking and Dagenham,18309,0.45530224,42
Barking and Dagenham,1831,0.515792,42
Barking and Dagenham,18310,0.44202906,42
Barking and Dagenham,18311,0.44488975,42
Barking and Dagenham,18312,0.48059264,42
Barking and Dagenham,18313,0.44433063,42
Barking and Dagenham,18314,0.54039997,42
Barking and Dagenham,18340,0.5573386,42
Barking and Dagenham,18341,0.53670186,42
Barking and Dagenham,18342,0.55737925,42
Barking and Dagenham,18343,0.59070975,42
Barking and Dagenham,18344,0.5812011,42
Barking and Dagenham,18345,0.55229133,42
Barking and Dagenham,18346,0.54130256,42
Barking and Dagenham,18391,0.55890816,42
Barking and Dagenham,18392,0.5267965,42
Barking and Dagenham,18393,0.47520006,42
Barking and Dagenham,18394,0.48346204,42
Barking and Dagenham,18800,0.4587178,42
Barking and Dagenham,1904,0.4657385,42
Barking and Dagenham,19041,0.580284,42
Barking and Dagenham,19042,0.5763608,42
Barking and Dagenham,19296,0.48416746,42
Barking and Dagenham,19297,0.5136032,42
Barking and Dagenham,19298,0.5136498,42
Barking and Dagenham,19299,0.46198717,42
Barking and Dagenham,19300,0.52082705,42
Barking and Dagenham,19301,0.5215048,42
Barking and Dagenham,19302,0.5267139,42
Barking and Dagenham,19303,0.56898755,42
Barking and Dagenham,19304,0.5699282,42
Barking and Dagenham,19305,0.51165044,42
Barking and Dagenham,19306,0.51390505,42
Barking and Dagenham,19307,0.51250106,42
Barking and Dagenham,19308,0.5060753,42
Barking and Dagenham,19309,0.5232509,42
Barking and Dagenham,19310,0.55719435,42
Barking and Dagenham,19311,0.54890573,42
Barking and Dagenham,19312,0.5489625,42
Barking and Dagenham,19313,0.3871247,42
Barking and Dagenham,19315,0.44887546,42
Barking and Dagenham,19316,0.43684137,42
Barking and Dagenham,20339,0.6089222,42
Barking and Dagenham,20392,0.54148525,42
Barking and Dagenham,20499,0.50993246,42
Barking and Dagenham,20500,0.47613546,42
Barking and Dagenham,20521,0.46210995,42
Barking and Dagenham,20540,0.4655152,42
Barking and Dagenham,20541,0.45871297,42
Barking and Dagenham,20693,0.4587277,42
Barking and Dagenham,20694,0.48328167,42
Barking and Dagenham,20697,0.512616,42
Barking and Dagenham,20811,0.6294623,42
Barking and Dagenham,20822,0.45474675,42
Barking and Dagenham,20880,0.56181896,42
Barking and Dagenham,20881,0.53151566,42
Barking and Dagenham,20971,0.6104882,42
Barking and Dagenham,20988,0.58899,42
Barking and Dagenham,2288,0.4097367,42
Barking and Dagenham,2290,0.4377985,42
Barking and Dagenham,23397,0.5518761,42
Barking and Dagenham,25125,0.43902275,42
Barking and Dagenham,25377,0.5598778,42
Barking and Dagenham,25378,0.55910873,42
Barking and Dagenham,25379,0.56619,42
Barking and Dagenham,25380,0.565069,42
Barking and Dagenham,25381,0.5985291,42
Barking and Dagenham,25382,0.6531649,42
Barking and Dagenham,25383,0.593749,42
Barking and Dagenham,25384,0.56723094,42
Barking and Dagenham,25385,0.5637658,42
Barking and Dagenham,25386,0.5370263,42
Barking and Dagenham,25387,0.5213985,42
Barking and Dagenham,25388,0.4942601,42
Barking and Dagenham,25389,0.58130175,42
Barking and Dagenham,25390,0.5389104,42
Barking and Dagenham,25391,0.4827499,42
Barking and Dagenham,25392,0.4912406,42
Barking and Dagenham,25393,0.46322295,42
Barking and Dagenham,25394,0.46982402,42
Barking and Dagenham,25395,0.4885864,42
Barking and Dagenham,25396,0.50627977,42
Barking and Dagenham,25399,0.5865221,42
Barking and Dagenham,26367,0.54623514,42
Barking and Dagenham,26887,0.5040182,42
Barking and Dagenham,26888,0.500499,42
Barking and Dagenham,27451,0.40330094,42
Barking and Dagenham,27870,0.51287585,42
Barking and Dagenham,27950,0.44657543,42
Barking and Dagenham,2838,0.44568053,42
Barking and Dagenham,29141,0.47613624,42
Barking and Dagenham,29142,0.44389886,42
Barking and Dagenham,29143,0.5192877,42
Barking and Dagenham,29144,0.5033397,42
Barking and Dagenham,29234,0.47520578,42
Barking and Dagenham,29235,0.48293957,42
Barking and Dagenham,29236,0.46690813,42
Barking and Dagenham,29237,0.5970771,42
Barking and Dagenham,29238,0.60169905,42
