borough,STOPCODE,alpha
Barking and Dagenham,1029,0.5629449
Barking and Dagenham,1216,0.49248388
Barking and Dagenham,1217,0.4931834
Barking and Dagenham,14100,0.5913042
Barking and Dagenham,14119,0.5516737
Barking and Dagenham,14677,0.45986715
Barking and Dagenham,14693,0.5068845
Barking and Dagenham,14694,0.527388
Barking and Dagenham,14718,0.5574541
Barking and Dagenham,14951,0.5181065
Barking and Dagenham,14952,0.5241288
Barking and Dagenham,14953,0.47135198
Barking and Dagenham,14954,0.4804823
Barking and Dagenham,15003,0.46791574
Barking and Dagenham,15004,0.4794242
Barking and Dagenham,15445,0.46662214
Barking and Dagenham,15447,0.4715018
Barking and Dagenham,15448,0.5021725
Barking and Dagenham,15449,0.4587341
Barking and Dagenham,15450,0.5080384
Barking and Dagenham,15451,0.47378436
Barking and Dagenham,15452,0.5439015
Barking and Dagenham,15453,0.4559778
Barking and Dagenham,15454,0.4888987
Barking and Dagenham,15455,0.492427
Barking and Dagenham,15456,0.5190962
Barking and Dagenham,15457,0.5242407
Barking and Dagenham,15458,0.51289105
Barking and Dagenham,15459,0.54711103
Barking and Dagenham,15460,0.5224243
Barking and Dagenham,15461,0.5227916
Barking and Dagenham,15462,0.5385019
Barking and Dagenham,15463,0.53856057
Barking and Dagenham,15464,0.583441
Barking and Dagenham,15465,0.57145077
Barking and Dagenham,15466,0.57592905
Barking and Dagenham,15467,0.5755694
Barking and Dagenham,15468,0.53429437
Barking and Dagenham,15469,0.6012387
Barking and Dagenham,15470,0.5953709
Barking and Dagenham,15477,0.516315
Barking and Dagenham,15478,0.52727616
Barking and Dagenham,15479,0.533336
Barking and Dagenham,15480,0.5324691
Barking and Dagenham,15481,0.51838005
Barking and Dagenham,15482,0.51729816
Barking and Dagenham,15504,0.4572526
Barking and Dagenham,15505,0.42799452
Barking and Dagenham,15506,0.4546118
Barking and Dagenham,15508,0.51136
Barking and Dagenham,15513,0.49147987
Barking and Dagenham,15514,0.48329738
Barking and Dagenham,15515,0.48704585
Barking and Dagenham,15517,0.50846946
Barking and Dagenham,15518,0.53379565
Barking and Dagenham,15519,0.52363867
Barking and Dagenham,15520,0.52260643
Barking and Dagenham,15522,0.4736872
Barking and Dagenham,15586,0.5318671
Barking and Dagenham,16480,0.54888415
Barking and Dagenham,16481,0.58510727
Barking and Dagenham,16484,0.57862204
Barking and Dagenham,16485,0.50638205
Barking and Dagenham,1676,0.61935896
Barking and Dagenham,1677,0.60998696
Barking and Dagenham,16970,0.5003896
Barking and Dagenham,1709,0.591617
Barking and Dagenham,1710,0.5891474
Barking and Dagenham,1711,0.57186353
Barking and Dagenham,18025,0.52671134
Barking and Dagenham,18026,0.5569517
Barking and Dagenham,18296,0.58447015
Barking and Dagenham,18297,0.52400166
Barking and Dagenham,18298,0.59036046
Barking and Dagenham,18299,0.5719809
Barking and Dagenham,1830,0.4614418
Barking and Dagenham,18301,0.528385
Barking and Dagenham,18304,0.5348152
Barking and Dagenham,18305,0.53488976
Barking and Dagenham,18306,0.5196697
Barking and Dagenham,18307,0.5187597
Barking and Dagenham,18308,0.49389702
Barking and Dagenham,18309,0.4601306
Barking and Dagenham,1831,0.47228995
Barking and Dagenham,18310,0.48312658
Barking and Dagenham,18311,0.45851293
Barking and Dagenham,18312,0.49163404
Barking and Dagenham,18313,0.49353278
Barking and Dagenham,18314,0.46131006
Barking and Dagenham,18340,0.50676113
Barking and Dagenham,18341,0.5665799
Barking and Dagenham,18342,0.538049
Barking and Dagenham,18343,0.5604306
Barking and Dagenham,18344,0.5676767
Barking and Dagenham,18345,0.5188147
Barking and Dagenham,18346,0.52426773
Barking and Dagenham,18391,0.53377986
Barking and Dagenham,18392,0.51423246
Barking and Dagenham,18393,0.43756136
Barking and Dagenham,18394,0.43655178
Barking and Dagenham,18800,0.534239
Barking and Dagenham,1904,0.46934384
Barking and Dagenham,19041,0.6193202
Barking and Dagenham,19042,0.58740276
Barking and Dagenham,19296,0.52505016
Barking and Dagenham,19297,0.5314373
Barking and Dagenham,19298,0.5558402
Barking and Dagenham,19299,0.5693449
Barking and Dagenham,19300,0.5842893
Barking and Dagenham,19301,0.58368534
Barking and Dagenham,19302,0.538047
Barking and Dagenham,19303,0.49200428
Barking and Dagenham,19304,0.49104995
Barking and Dagenham,19305,0.48870876
Barking and Dagenham,19306,0.48097605
Barking and Dagenham,19307,0.48888993
Barking and Dagenham,19308,0.49163058
Barking and Dagenham,19309,0.46723172
Barking and Dagenham,19310,0.46664566
Barking and Dagenham,19311,0.48166364
Barking and Dagenham,19312,0.4816579
Barking and Dagenham,19313,0.5179025
Barking and Dagenham,19315,0.49256867
Barking and Dagenham,19316,0.49926388
Barking and Dagenham,20339,0.5827044
Barking and Dagenham,20392,0.54008394
Barking and Dagenham,20499,0.5245466
Barking and Dagenham,20500,0.5299523
Barking and Dagenham,20521,0.52603275
Barking and Dagenham,20540,0.55276775
Barking and Dagenham,20541,0.56030685
Barking and Dagenham,20693,0.5472828
Barking and Dagenham,20694,0.5310156
Barking and Dagenham,20697,0.4491675
Barking and Dagenham,20811,0.5699848
Barking and Dagenham,20822,0.5023511
Barking and Dagenham,20880,0.556619
Barking and Dagenham,20881,0.50570494
Barking and Dagenham,20971,0.5811161
Barking and Dagenham,20988,0.47698337
Barking and Dagenham,2288,0.52363366
Barking and Dagenham,2290,0.5022075
Barking and Dagenham,23397,0.5753062
Barking and Dagenham,25125,0.5243841
Barking and Dagenham,25377,0.51539135
Barking and Dagenham,25378,0.5161734
Barking and Dagenham,25379,0.50927633
Barking and Dagenham,25380,0.506907
Barking and Dagenham,25381,0.5448246
Barking and Dagenham,25382,0.561351
Barking and Dagenham,25383,0.5808752
Barking and Dagenham,25384,0.6180959
Barking and Dagenham,25385,0.5999496
Barking and Dagenham,25386,0.6363206
Barking and Dagenham,25387,0.596787
Barking and Dagenham,25388,0.6334072
Barking and Dagenham,25389,0.5795129
Barking and Dagenham,25390,0.5889822
Barking and Dagenham,25391,0.5702001
Barking and Dagenham,25392,0.5268778
Barking and Dagenham,25393,0.58771706
Barking and Dagenham,25394,0.535099
Barking and Dagenham,25395,0.5817114
