borough,STOPCODE,y_true,y_true_log1p,mlp_raw_log1p,gat_raw_log1p
Barking and Dagenham,1029,390.76037,5.970650351849406,4.7358494,4.334862
Barking and Dagenham,1216,592.12658,6.385407833217336,5.8852587,4.815243
Barking and Dagenham,1217,886.98624,6.7889562473766185,5.8729095,5.0697064
Barking and Dagenham,14100,135.18312,4.914000450645654,3.2684216,3.5107741
Barking and Dagenham,14119,206.49846,5.335123917956465,5.6244793,4.8242764
Barking and Dagenham,14677,283.66521,5.651313788011349,5.7851586,5.734579
Barking and Dagenham,14693,282.59704,5.647554357367961,5.636746,4.836138
Barking and Dagenham,14694,205.66739,5.331110689364903,5.5408053,4.679424
Barking and Dagenham,14718,40.74013,3.7314630161626523,4.6946397,4.334862
Barking and Dagenham,14951,259.09506,5.561047179579125,5.4061894,4.658782
Barking and Dagenham,14952,149.70223,5.015305903134114,4.873072,4.6680074
Barking and Dagenham,14953,626.1289400000001,6.441152165423709,5.133181,4.507517
Barking and Dagenham,14954,405.26881,6.007015034110526,4.9076414,4.5279837
Barking and Dagenham,15003,246.79592,5.512605504168453,5.066611,4.7831407
Barking and Dagenham,15004,160.20318,5.0826655569250985,5.0171785,4.777852
Barking and Dagenham,15445,429.22359,6.064305050290732,5.5659866,5.3680577
Barking and Dagenham,15447,290.24119,5.674151755495363,4.9352965,5.0043235
Barking and Dagenham,15448,72.3173,4.294796597416202,3.8229525,3.8535602
Barking and Dagenham,15449,184.02929,5.220514136870676,4.953313,4.1602206
Barking and Dagenham,15450,130.09636,4.875932625319361,3.7138262,3.7994683
Barking and Dagenham,15451,111.53418,4.723256997722072,3.8482313,3.9651957
Barking and Dagenham,15452,132.71388,4.8957022932296415,3.7404103,4.5300694
Barking and Dagenham,15453,489.10996,6.194629774092192,5.7648435,4.6487765
Barking and Dagenham,15454,115.30001,4.756173145509138,4.9769177,4.7390833
Barking and Dagenham,15455,176.958,5.181547567394132,4.9396157,4.7219415
Barking and Dagenham,15456,289.67382,5.672201745029789,4.8202095,4.7685256
Barking and Dagenham,15457,346.20615,5.84991869576296,4.7828274,4.7685256
Barking and Dagenham,15458,95.5098,4.5696445575927855,4.795394,4.581557
Barking and Dagenham,15459,42.48806,3.7724864176587305,4.7115116,4.6022
Barking and Dagenham,15460,1191.6976,7.083972911341466,4.8268495,4.2376904
Barking and Dagenham,15461,547.41384,6.307030184422956,4.8670397,4.156505
Barking and Dagenham,15462,212.89778,5.365498237352874,3.7633853,3.929977
Barking and Dagenham,15463,126.46356,4.847830519827188,3.7632093,3.9299772
Barking and Dagenham,15464,94.29022,4.556927182099168,3.6965775,3.6435342
Barking and Dagenham,15465,78.19696,4.371937914245318,3.7928276,3.7434063
Barking and Dagenham,15466,157.7553,5.067364023042279,3.5895581,3.5391095
Barking and Dagenham,15467,67.59678,4.228245594854671,3.6096783,3.5391092
Barking and Dagenham,15468,44.19011,3.8108782575870768,3.9350476,4.3564534
Barking and Dagenham,15469,385.28994,5.95658822739682,5.509147,5.036999
Barking and Dagenham,15470,112.13438,4.728576315709727,5.4639845,4.9592915
Barking and Dagenham,15477,109.78194,4.7075637646379365,3.7690778,3.975118
Barking and Dagenham,15478,147.11775,4.998007565543864,3.8769298,3.8895128
Barking and Dagenham,15479,101.94932,4.634236828303854,3.910385,3.730815
Barking and Dagenham,15480,78.8758,4.380472928296995,3.967927,3.730815
Barking and Dagenham,15481,93.51312,4.54873866084171,3.8304682,4.095191
Barking and Dagenham,15482,22.67663,3.1644884856989908,3.8905046,4.095191
Barking and Dagenham,15504,815.96879,6.705600893395943,6.142587,5.8811126
Barking and Dagenham,15505,314.4762,5.754083243319679,6.04318,5.7634077
Barking and Dagenham,15506,198.14228,5.294019544126092,6.042294,5.65838
Barking and Dagenham,15508,645.64364,6.471795354507853,5.6829557,5.4213605
Barking and Dagenham,15513,330.37439,5.803248823792709,5.4596944,4.524694
Barking and Dagenham,15514,650.23414,6.478869239604047,5.3667817,4.4900813
Barking and Dagenham,15515,495.15098,6.20688027556741,5.3414154,4.652016
