feature,mean,std
lon,0.15383358482091253,0.0023057879008302603
lat,0.14780633249258693,0.0023798105391284845
employment_all_30min,0.14758684423501386,0.005822925668391862
gp_30min,0.1352549264386499,0.004613675896020522
pharmacies_30min,0.13053467203516447,0.00488804908462524
primary_schools_30min,0.12295303123151562,0.005333354250139747
supermarkets_30min,0.06447658034104581,0.0014161289055646589
secondary_schools_30min,0.054711341172964376,0.0009540126919522374
hospitals_30min,0.03940978199029806,0.0007805634931202407
main_bua_30min,0.0034329052418484384,0.0003641961424756759
