borough,ridge_alpha,rf_n_estimators,rf_min_samples_leaf,rf_max_features,rf_max_depth,xgb_subsample,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_colsample_bytree
Barking and Dagenham,100.0,300,5,0.5,30,0.6,200,6,0.05,0.7
Barnet,46.41588833612777,300,5,0.5,30,0.9,300,10,0.01,0.8
Bexley,100.0,300,5,0.5,30,0.9,300,10,0.01,0.8
Brent,68.12920690579608,300,5,0.5,30,0.6,200,6,0.05,0.7
Bromley,31.622776601683793,300,5,0.5,30,0.6,200,6,0.05,0.7
Camden,100.0,300,5,0.5,30,0.6,200,6,0.05,0.7
City of London,68.12920690579608,300,5,0.5,30,0.6,200,6,0.05,0.7
Croydon,68.12920690579608,300,5,0.5,30,0.9,300,10,0.01,0.8
Ealing,100.0,300,5,0.5,30,0.6,200,6,0.05,0.7
Enfield,100.0,300,5,0.5,30,0.6,200,6,0.05,0.7
Greenwich,68.12920690579608,300,5,0.5,30,0.9,300,10,0.01,0.8
Hackney,46.41588833612777,300,5,0.5,30,0.6,200,6,0.05,0.7
Hammersmith and Fulham,68.12920690579608,300,5,0.5,30,0.9,300,10,0.01,0.8
Haringey,100.0,300,5,0.5,30,0.9,300,10,0.01,0.8
Harrow,100.0,300,5,0.5,30,0.9,300,10,0.01,0.8
Havering,68.12920690579608,300,5,0.5,30,0.6,200,6,0.05,0.7
Hillingdon,68.12920690579608,300,5,0.5,30,0.6,200,6,0.05,0.7
Hounslow,68.12920690579608,300,5,0.5,30,0.8,200,5,0.1,1.0
Islington,68.12920690579608,300,5,0.5,30,0.6,200,6,0.05,0.7
Kensington and Chelsea,68.12920690579608,300,5,0.5,30,0.6,200,6,0.05,0.7
Kingston upon Thames,68.12920690579608,300,5,0.5,30,0.6,200,6,0.05,0.7
Lambeth,68.12920690579608,300,5,0.5,30,0.9,300,10,0.01,0.8
Lewisham,100.0,300,5,0.5,30,0.6,200,6,0.05,0.7
Merton,46.41588833612777,300,5,0.5,30,0.9,300,10,0.01,0.8
Newham,68.12920690579608,300,5,0.5,30,0.9,300,10,0.01,0.8
Redbridge,100.0,300,5,0.5,30,0.9,300,10,0.01,0.8
Richmond upon Thames,100.0,300,5,0.5,30,0.9,300,10,0.01,0.8
Southwark,100.0,300,5,0.5,30,0.9,300,10,0.01,0.8
Sutton,100.0,300,5,0.5,30,0.9,300,10,0.01,0.8
Tower Hamlets,68.12920690579608,300,5,0.5,30,0.6,200,6,0.05,0.7
Waltham Forest,46.41588833612777,300,5,0.5,30,0.6,200,6,0.05,0.7
Wandsworth,46.41588833612777,300,5,0.5,30,0.9,300,10,0.01,0.8
Westminster,100.0,300,5,0.5,30,0.9,300,10,0.01,0.8
