STOPCODE,stop_name,total_boardings,lat,lon,POSTCODE,lsoa11cd,lad_code,lad_name,employment_all_30min,hospitals_30min,gp_30min,supermarkets_30min,pharmacies_30min,primary_schools_30min,secondary_schools_30min,main_bua_30min
1000,WESTMINSTER STN  / PARLIAMENT SQUARE,968.09077,51.501597003964065,-0.1259881863671396,SW1A 2JR,E01004733,E09000033,Westminster,1932140.0,31.0,83.0,26.0,173.0,91.0,20.0,0.0
10001,TREVOR CLOSE,3.32138,51.46019101494073,-0.3348309198683003,TW7 7LH,E01002670,E09000018,Hounslow,84265.0,2.0,22.0,7.0,33.0,20.0,6.0,0.0
10002,HIGHBURY CORNER,866.69815,51.54498248694317,-0.10339503278725327,N1 1RU,E01002795,E09000019,Islington,2213600.0,35.0,141.0,64.0,278.0,200.0,52.0,0.0
10003,HIGHBURY & ISLINGTON STATION,1260.98168,51.54679445592468,-0.10422831282176377,N5 1RD,E01002740,E09000019,Islington,2220225.0,35.0,143.0,63.0,282.0,201.0,52.0,0.0
10004,ST MARY MAGDALENE CHURCH,496.38561,51.54848227072172,-0.10684087438564267,N7 8JL,E01002740,E09000019,Islington,2220225.0,35.0,143.0,63.0,282.0,201.0,52.0,0.0
10005,ST MARY MAGDALENE CHURCH,434.16227,51.54869756425302,-0.10736559929034006,N7 8LT,E01002795,E09000019,Islington,2213600.0,35.0,141.0,64.0,278.0,200.0,52.0,0.0
10010,HOLLOWAY ROAD STATION,1343.45069,51.552081403415805,-0.11143706890193565,N7 7AT,E01033491,E09000019,Islington,2072790.0,27.0,125.0,59.0,242.0,177.0,45.0,1.0
10011,HOLLOWAY ROAD STATION,1547.94394,51.55288595988841,-0.11281735885186246,N7 8HS,E01033488,E09000019,Islington,1979025.0,27.0,112.0,47.0,209.0,153.0,37.0,0.0
10014,LYNWOOD ROAD,100.1083,51.53115850555125,-0.3009715283788372,W5 1JL,E01001277,E09000009,Ealing,201360.0,4.0,53.0,20.0,79.0,53.0,14.0,0.0
10015,LYNWOOD ROAD,20.33919,51.53094279106023,-0.3015995050089861,W5 1JL,E01001277,E09000009,Ealing,201360.0,4.0,53.0,20.0,79.0,53.0,14.0,0.0
10016,WOOLWICH ROAD / BEDONWELL ROAD,149.29482,51.481514884675946,0.13254506259869667,SE2 0DW,E01000417,E09000004,Bexley,52860.0,1.0,24.0,15.0,36.0,43.0,9.0,0.0
10017,WOOLWICH ROAD / BEDONWELL ROAD,84.64156,51.48156154332557,0.1304732690486503,SE2 0PS,E01000417,E09000004,Bexley,52860.0,1.0,24.0,15.0,36.0,43.0,9.0,0.0
10019,QUEENS ROAD,248.16996,51.399085657426504,-0.2501489095182583,KT3 4LP,E01002931,E09000021,Kingston upon Thames,59725.0,3.0,14.0,12.0,33.0,24.0,7.0,0.0
10023,ST JOSEPH'S CHURCH,164.98379,51.399586740707726,-0.26085432655048146,KT3 3QW,E01002930,E09000021,Kingston upon Thames,90900.0,3.0,21.0,15.0,44.0,31.0,8.0,0.0
10024,ST JOSEPH'S CHURCH,153.09709,51.399673136257256,-0.26182862279031177,KT3 3LZ,E01002928,E09000021,Kingston upon Thames,59550.0,3.0,14.0,13.0,31.0,26.0,6.0,0.0
10028,ELM ROAD / NEW MALDEN BAPTIST CHURCH,227.71222,51.40093551682983,-0.26630935394903743,KT3 3ND,E01002928,E09000021,Kingston upon Thames,59550.0,3.0,14.0,13.0,31.0,26.0,6.0,0.0
10031,ARCHDALE PLACE,69.96181,51.404576852358275,-0.2772424033289027,KT3 3RW,E01002973,E09000021,Kingston upon Thames,51825.0,2.0,7.0,8.0,17.0,19.0,2.0,0.0
10032,CALIFORNIA ROAD,249.59151,51.4035841151794,-0.27516624766408765,KT3 3RX,E01002973,E09000021,Kingston upon Thames,51825.0,2.0,7.0,8.0,17.0,19.0,2.0,0.0
10037,WATERS ROAD,103.79107,51.40714177548898,-0.282897366241061,KT1 3NY,E01002970,E09000021,Kingston upon Thames,62750.0,2.0,11.0,12.0,24.0,23.0,5.0,0.0
10038,CAMBRIDGE GROVE,223.28277,51.40889784376776,-0.28675703198629593,KT1 3HU,E01002969,E09000021,Kingston upon Thames,65625.0,3.0,15.0,11.0,27.0,25.0,6.0,0.0
10041,VICARAGE HOUSE,259.48606,51.41008423976391,-0.29102647643750046,KT1 3NE,E01002972,E09000021,Kingston upon Thames,78175.0,5.0,17.0,15.0,36.0,36.0,7.0,0.0
1005,RAYNES PARK STATION,1029.98663,51.40887329018264,-0.22944338192821698,SW20 8BA,E01003381,E09000024,Merton,112015.0,2.0,33.0,22.0,55.0,46.0,12.0,0.0
1007,SHEEN ROAD / KINGS ROAD,151.28392,51.46211547597407,-0.2929416251442688,TW9 1YS,E01003875,E09000027,Richmond upon Thames,55875.0,2.0,17.0,5.0,28.0,18.0,4.0,0.0
1008,ST MARY'S GROVE,158.1202,51.462083435118195,-0.2913593005176584,TW9 1UX,E01003863,E09000027,Richmond upon Thames,69950.0,2.0,19.0,10.0,39.0,27.0,5.0,0.0
1010,CLAPTON POND,38.74947,51.55594457117798,-0.056156664695835516,E5 8DA,E01033713,E09000012,Hackney,93065.0,3.0,47.0,11.0,65.0,69.0,14.0,0.0
1011,CLAPTON POND,2315.27736,51.55680008011879,-0.05568740907974872,E5 8EG,E01001770,E09000012,Hackney,113115.0,4.0,58.0,21.0,82.0,82.0,17.0,0.0
1013,CHAPTER ROAD,517.4452699999999,51.55044361864461,-0.24094346293527266,NW10 1DG,E01000506,E09000005,Brent,134530.0,4.0,40.0,20.0,77.0,54.0,15.0,0.0
1014,CHAPTER ROAD,231.07017,51.55038515686654,-0.2406428223904957,NW10 1BD,E01000638,E09000005,Brent,216255.0,11.0,57.0,25.0,102.0,82.0,20.0,0.0
1017,ST JOHN STREET / GOSWELL ROAD,488.78315,51.53141443293523,-0.10628028145373779,EC1V 4NJ,E01002707,E09000019,Islington,2278325.0,33.0,109.0,45.0,226.0,159.0,44.0,0.0
1023,TALLY HO CORNER,1868.58898,51.6137096322914,-0.17704059247924334,N12 8LJ,E01000299,E09000003,Barnet,69890.0,4.0,26.0,11.0,44.0,48.0,12.0,1.0
10240,KILBURN PARK STATION,1127.2943,51.53550224627131,-0.19327379396640385,NW6 5FH,E01000550,E09000005,Brent,1820875.0,27.0,109.0,25.0,208.0,115.0,27.0,0.0
10241,KILBURN PARK STATION,391.95969,51.53469042637817,-0.19369524426053303,NW6 5AY,E01000550,E09000005,Brent,1820875.0,27.0,109.0,25.0,208.0,115.0,27.0,0.0
10242,FAIRLAWN AVENUE,583.55149,51.588901980995004,-0.16391547920986813,N2 9PN,E01000182,E09000003,Barnet,334975.0,14.0,59.0,27.0,91.0,80.0,20.0,1.0
10243,MULGRAVE ROAD,451.52348,51.484221793591196,-0.2058009601563055,SW6 7TJ,E01001885,E09000013,Hammersmith and Fulham,345240.0,6.0,44.0,13.0,76.0,47.0,15.0,0.0
10244,FULHAM POOLS,381.54118,51.483849070515106,-0.20788956966681396,SW6 7QB,E01001886,E09000013,Hammersmith and Fulham,193000.0,4.0,37.0,13.0,56.0,42.0,7.0,0.0
10258,THIRLMERE GARDENS,88.42443,51.616105175999046,-0.44207006952529804,HA6 2RX,E01002475,E09000017,Hillingdon,18800.0,4.0,6.0,1.0,14.0,8.0,3.0,0.0
1026,QUEEN'S GROVE,262.14957,51.536842828218624,-0.17646535144782716,NW8 0NH,E01004649,E09000033,Westminster,2229680.0,35.0,139.0,46.0,262.0,165.0,37.0,0.0
