STOPCODE,stop_name,total_boardings,lat,lon,POSTCODE,lsoa11cd,lad_code,lad_name,employment_all_30min,hospitals_30min,gp_30min,supermarkets_30min,pharmacies_30min,primary_schools_30min,secondary_schools_30min,main_bua_30min,poi_residential,poi_shopping,poi_company,poi_education,poi_entertainment,poi_scenic,service_coverage,peak_vc
1000,WESTMINSTER STN  / PARLIAMENT SQUARE,968.09077,51.50159700396407,-0.1259881863671396,SW1A 2JR,E01004733,E09000033,Westminster,1932140.0,31.0,83.0,26.0,173.0,91.0,20.0,0.0,2,17,65,26,36,124,347,0.45526800000000023
10001,TREVOR CLOSE,3.32138,51.46019101494073,-0.3348309198683003,TW7 7LH,E01002670,E09000018,Hounslow,84265.0,2.0,22.0,7.0,33.0,20.0,6.0,0.0,3,12,4,2,2,1,42,0.09605399999999989
10002,HIGHBURY CORNER,866.69815,51.54498248694317,-0.1033950327872532,N1 1RU,E01002795,E09000019,Islington,2213600.0,35.0,141.0,64.0,278.0,200.0,52.0,0.0,30,84,33,22,96,9,391,0.33899
10003,HIGHBURY & ISLINGTON STATION,1260.98168,51.54679445592468,-0.1042283128217637,N5 1RD,E01002740,E09000019,Islington,2220225.0,35.0,143.0,63.0,282.0,201.0,52.0,0.0,31,81,33,24,99,10,359,0.35841399999999995
10004,ST MARY MAGDALENE CHURCH,496.38561,51.54848227072172,-0.1068408743856426,N7 8JL,E01002740,E09000019,Islington,2220225.0,35.0,143.0,63.0,282.0,201.0,52.0,0.0,35,84,25,38,109,10,361,0.40485
10005,ST MARY MAGDALENE CHURCH,434.16227,51.54869756425302,-0.10736559929034,N7 8LT,E01002795,E09000019,Islington,2213600.0,35.0,141.0,64.0,278.0,200.0,52.0,0.0,32,82,23,34,103,10,363,0.3911300000000001
10010,HOLLOWAY ROAD STATION,1343.45069,51.552081403415805,-0.1114370689019356,N7 7AT,E01033491,E09000019,Islington,2072790.0,27.0,125.0,59.0,242.0,177.0,45.0,1.0,31,98,20,27,97,11,444,0.378424
10011,HOLLOWAY ROAD STATION,1547.94394,51.55288595988841,-0.1128173588518624,N7 8HS,E01033488,E09000019,Islington,1979025.0,27.0,112.0,47.0,209.0,153.0,37.0,0.0,29,82,16,24,89,6,440,0.396806
10014,LYNWOOD ROAD,100.1083,51.53115850555125,-0.3009715283788372,W5 1JL,E01001277,E09000009,Ealing,201360.0,4.0,53.0,20.0,79.0,53.0,14.0,0.0,1,7,8,0,6,0,79,0.6077080000000004
10015,LYNWOOD ROAD,20.33919,51.53094279106023,-0.3015995050089861,W5 1JL,E01001277,E09000009,Ealing,201360.0,4.0,53.0,20.0,79.0,53.0,14.0,0.0,2,6,8,0,4,0,79,0.530112
